condition,cell_type,side,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_positive_delta,input_rate_hz,student_mean_rate_hz
body_left_dark,T4d,right,721,776,-0.13635270001830782,-0.17112019869541534,0.03476749867710752,6.217806421431925,4.31701030927835
body_left_dark,T5a,left,721,742,0.21295375304055567,0.11175657638989489,0.10119717665066078,18.09806511112544,11.185983827493262
body_left_dark,T5a,right,721,740,0.2600590311676708,0.11175657638989489,0.14830245477777593,26.522355381249657,15.81081081081081
body_left_dark,T5b,left,721,758,0.124456841817957,0.014668236694643318,0.10978860512331369,19.63455295635856,12.467018469656992
body_left_dark,T5b,right,721,762,0.12169802964021119,0.014668236694643318,0.10702979294556787,19.141168021375957,12.598425196850394
body_left_dark,T5c,left,721,763,0.1381735540914044,-0.02281167717476273,0.16098523126616712,28.790538370871197,17.431192660550458
body_left_dark,T5c,right,721,766,0.15378858002570292,-0.02281167717476273,0.17660025720046565,31.58312375145357,20.234986945169712
body_left_dark,T5d,left,721,740,0.167668876044923,-0.008648808860104589,0.17631768490502758,31.532588628135926,19.66216216216216
body_left_dark,T5d,right,721,727,0.19003324086843248,-0.008648808860104589,0.19868204972853706,35.532223243853196,20.220082530949107
body_left_dark,Tm1,left,721,773,0.25941169900295225,0.25418798348785027,0.005223715515101979,0.9342073232009924,2.7813712807244504
body_left_dark,Tm1,right,721,771,0.2587817824663964,0.25418798348785027,0.004593798978546115,0.8215532860975946,2.3346303501945527
body_left_dark,Tm16,left,721,168,-0.1329014387800185,-0.2450590306899268,0.11215759190990829,20.058221664618962,11.30952380952381
body_left_dark,Tm16,right,721,175,-0.133594089181869,-0.2450590306899268,0.1114649415080578,19.934348326579,13.142857142857142
body_left_dark,Tm2,left,721,765,-0.18938702101520186,-0.32067304587924284,0.13128602486404098,23.47914343867945,16.143790849673202
body_left_dark,Tm2,right,721,763,-0.17988567761934768,-0.32067304587924284,0.14078736825989516,25.178360127450656,17.03800786369594
body_left_dark,Tm20,left,721,747,0.5741168020936388,0.5364302146337647,0.03768658745987408,6.73985516433349,4.551539491298527
body_left_dark,Tm20,right,721,741,0.5758523686831603,0.5364302146337647,0.03942215404939553,7.050243242157874,5.7354925775978405
body_left_dark,Tm3,left,721,889,1.3560869920166951,1.6702640961013455,0.0,0.0,0.0
body_left_dark,Tm3,right,721,857,1.365913285203433,1.6702640961013455,0.0,0.0,0.0
body_left_dark,Tm4,left,721,755,-0.0001960405154575246,-0.008280457847305694,0.008084417331848169,1.4458141630015902,1.1258278145695364
body_left_dark,Tm4,right,721,734,0.0035939020269152014,-0.008280457847305694,0.011874359874220895,2.123606065596513,1.6348773841961852
body_left_dark,Tm5Y,left,721,407,0.3085178830318577,0.2936388212081753,0.014879061823682371,2.6609658351145917,2.0884520884520885
body_left_dark,Tm5Y,right,721,401,0.30887650697131674,0.2936388212081753,0.01523768576314144,2.725102005920461,1.745635910224439
body_left_dark,Tm5a,left,721,229,-0.01613449211647003,-0.206870148273575,0.19073565615710497,34.11109319838895,26.200873362445414
body_left_dark,Tm5a,right,721,221,-0.013751937258580439,-0.206870148273575,0.19311821101499457,34.537188415430094,22.850678733031675
body_left_dark,Tm5c,left,721,297,1.4103740262262905,1.3256751328006635,0.08469889342562698,15.147518327995392,11.447811447811448
