condition,cell_type,side,bin_index,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_signed_delta,teacher_target_value,input_value,student_raw_rate_hz,student_delta_rate_hz,student_raw_voltage_mv,student_delta_voltage_mv,student_raw_conductance,student_delta_conductance
body_left_dark,Tm1,left,1,225,195,0.25485708184540273,0.2548571385277642,-5.66823614711609e-08,-5.66823614711609e-08,-4.325638954988123e-06,30.102564102564102,30.102564102564102,-54.43519105177659,-2.4351910517765916,0.989670167519496,0.989670167519496
body_left_dark,Tm1,right,1,225,183,0.2656983601881398,0.2548571385277642,0.0108412216603756,0.0108412216603756,0.8273333981972727,87.04918032786885,87.04918032786885,-49.89076541421192,2.10923458578808,14.886695590826983,14.886695590826983
body_left_dark,Tm1,left,2,225,195,0.2658350192507108,0.25343819965918857,0.012396819591522223,0.012396819591522223,0.9460467833601395,89.64102564102564,89.64102564102564,-49.92113655285957,2.078863447140428,15.254583402780385,15.254583402780385
body_left_dark,Tm1,right,2,225,184,0.2534277520411544,0.25343819965918857,-1.0447618034148398e-05,-1.0447618034148398e-05,-0.0007972960614624717,56.84782608695652,56.84782608695652,-53.066250842550524,-1.0662508425505237,6.479163890623528,6.479163890623528
body_left_dark,Tm1,left,3,135,191,0.25369045677836294,0.25369228843461583,-1.8316562528930547e-06,-1.8316562528930547e-06,-0.0001397804084731529,33.455497382198956,33.455497382198956,-52.75955353981537,-0.7595535398153714,3.6530322004207143,3.6530322004207143
body_left_dark,Tm1,right,3,135,202,0.26012932223578294,0.25369228843461583,0.0064370338011671135,0.0064370338011671135,0.4912336649747818,50.396039603960396,50.396039603960396,-49.451196840493985,2.548803159506015,10.253814340818046,10.253814340818046
body_left_dark,Tm16,left,0,136,41,-0.06208075881937368,-0.23055871713688034,0.16847795831750667,0.16847795831750667,12.857171095912461,250.0,250.0,-51.01347295249381,0.9865270475061934,39.048687632490946,39.048687632490946
body_left_dark,Tm16,right,0,136,44,-0.230573175878175,-0.23055871713688034,-1.4458741294659516e-05,-1.4458741294659516e-05,-0.0011033995931184987,0.0,0.0,-55.041967305270106,-3.0419673052701057,-3.9240734455260364,-3.9240734455260364
body_left_dark,Tm16,left,1,225,43,-0.25171273762049773,-0.2517150895628664,2.351942368694626e-06,2.351942368694626e-06,0.00017948535074864,0.0,0.0,-54.902698339417924,-2.902698339417924,-3.729021131299263,-3.729021131299263
body_left_dark,Tm16,right,1,225,43,0.003589208217130767,-0.2517150895628664,0.2553042977799972,0.2553042977799972,19.48320760092047,270.0,270.0,-51.10553794683412,0.8944620531658813,44.58030168400254,44.58030168400254
body_left_dark,Tm16,left,2,225,43,0.019121575934501985,-0.2384199356680943,0.2575415116025963,0.2575415116025963,19.65393759541084,275.3488372093023,275.3488372093023,-51.11559402110965,0.8844059788903493,44.42108136554097,44.42108136554097
body_left_dark,Tm16,right,2,225,44,-0.23841883333813813,-0.2384199356680943,1.1023299561763178e-06,1.1023299561763178e-06,8.41228430843104e-05,0.0,0.0,-53.678190057927914,-1.6781900579279139,-2.153474996035749,-2.153474996035749
body_left_dark,Tm16,left,3,135,41,-0.25959957616007023,-0.25963848088781727,3.890472774703557e-05,3.890472774703557e-05,0.0029689625045245614,0.0,0.0,-53.971206851121856,-1.9712068511218561,-2.5583361520818095,-2.5583361520818095
body_left_dark,Tm16,right,3,135,44,-0.08982756095162282,-0.25963848088781727,0.16981091993619446,0.16981091993619446,12.958894287283616,250.0,250.0,-51.00339672782204,0.996603272177957,39.644561073996805,39.644561073996805
