root_id,region,entry_nerve,exit_nerve,flow,super_class,cell_class,cell_type,side
801609,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN13A009,L
801610,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN13A006,R
801618,T2,,,intrinsic,interneuron,BI|premotor_candidate,INXXX076,R
801625,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN18B016,R
801626,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN19A016,R
801629,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN08A008,R
801630,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN04B008,L
801634,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A019,R
801635,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A035,R
801637,T3,,MetaLN,efferent,motor,hl,Acc. ti flexor MN,R
801638,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN21A007,R
801646,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN01A005,R
801650,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN08A007,R
801652,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN04B068,L
801660,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN16B029,L
801663,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN09A010,L
801665,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN21A004,R
801666,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A007,L
801676,T3,,,intrinsic,interneuron,BI|premotor_candidate,INXXX066,R
801677,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN07B022,R
801679,T3,,,intrinsic,interneuron,BR|premotor_candidate,IN19B035,L
801682,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN19A013,R
801690,T3,,,intrinsic,interneuron,BR|premotor_candidate,IN14A007,L
801693,T3,,MetaLN,efferent,motor,hl,Fe reductor MN,R
801698,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN19A024,R
801699,T3,,,intrinsic,interneuron,BI|premotor_candidate,IN18B016,R
801710,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN03A007,R
801713,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN03B035,L
801715,T3,,MetaLN,efferent,motor,hl,Sternal posterior rotator MN,L
801718,T1,,,intrinsic,interneuron,CR|premotor_candidate,IN13B012,R
801719,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN09B006,L
801721,T3,,MetaLN,efferent,motor,hl,Tr flexor MN,R
801723,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A019,L
801728,T2,,,intrinsic,interneuron,IR|premotor_candidate,INXXX466,L
801745,T2,,,intrinsic,interneuron,premotor_candidate,IN20A.22A045,R
801747,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN19A013,R
801752,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN03B019,R
801757,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A015,L
801761,T2,,MesoLN,efferent,motor,ml,Sternal posterior rotator MN,R
801763,T1,,,intrinsic,interneuron,BR|premotor_candidate,IN04B020,L
801765,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN21A011,L
801768,T2,,MesoLN,efferent,motor,ml,Sternal posterior rotator MN,L
801773,T1,,,intrinsic,interneuron,BI|premotor_candidate,IN16B014,L
801778,T3,,,intrinsic,interneuron,BR|premotor_candidate,IN18B021,L
801781,T2,,,intrinsic,interneuron,II|premotor_candidate,IN12A011,L
801783,T3,,,intrinsic,interneuron,BR|premotor_candidate,IN19B021,L
801785,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN21A005,L
801787,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN19A016,L
801789,T2,,,intrinsic,interneuron,II|premotor_candidate,IN08A008,L
801791,T2,,,intrinsic,interneuron,CR|premotor_candidate,IN14A009,R
801794,T2,,,intrinsic,interneuron,CR|premotor_candidate,IN13B012,L
801797,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN21A014,L
801798,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN03B032,L
801802,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN03A020,R
801804,T2,,,intrinsic,interneuron,CR|premotor_candidate,IN01A015,R
801809,T2,,,intrinsic,interneuron,BI|premotor_candidate,IN18B032,R
801811,T1,,,intrinsic,interneuron,II|premotor_candidate,IN03B016,R
801813,T2,,MesoLN,efferent,motor,ml,Sternal anterior rotator MN,R
801814,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN16B033,R
801819,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN03A031,L
801822,T1,,,intrinsic,interneuron,IR|premotor_candidate,IN21A010,L
801823,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN17A028,L
801827,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN04B074,R
801833,T2,,,intrinsic,interneuron,BR|premotor_candidate,IN23B018,R
801834,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN04B071,R
801838,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN16B022,R
801843,T3,,,intrinsic,interneuron,IR|premotor_candidate,IN21A012,R
801849,T2,,,intrinsic,interneuron,IR|premotor_candidate,IN03B035,R
