supervoxel_id,root_id,pos_x,pos_y,pos_z,soma_x,soma_y,soma_z,nucleus_id,flow,super_class,cell_class,cell_sub_class,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,morphology_group,top_nt,top_nt_conf,known_nt,known_nt_source,side,nerve,vfb_id,fbbt_id,status,candidate_label,brain_index,from_relays
80577160557090688,720575940626527055,145202,80194,5284,147056.0,90792.0,2860.0,6090933.0,efferent,descending,,,DNg12_e,,MX12,MX12,MX12__0,acetylcholine,0.7623344857841508,,,right,CV,fw039160,FBbt_00047604,,DNg12_e,76904,0.0
80929279021600449,720575940631108559,149930,84397,4213,152000.0,89415.0,2608.0,,efferent,descending,,,DNg12_b,,MX12,MX12,MX12__0,acetylcholine,0.4293134889403019,,,right,CV,fw039159,FBbt_00047604,,DNg12_b,102294,0.0
78536810439270507,720575940614235323,115241,84909,4385,126536.0,90816.0,4493.0,4775881.0,efferent,descending,,,DNge029,,MX12__prim,MX12__prim,MX12__prim__2,glutamate,0.697787693515806,,,left,CV,fw037600,FBbt_00047516,,DNge029,19715,0.0
79521766632443415,720575940629806974,128998,82460,4058,152015.0,89131.0,3455.0,,efferent,descending,,,DNge078,,MX12__prim,MX12__prim,MX12__prim__3,acetylcholine,0.6600386311813511,,,right,CV,fw037597,FBbt_00047516,,DNge078,95375,0.0
79310729119299479,720575940616185531,126352,82698,3974,148928.0,90720.0,3515.0,6602485.0,efferent,descending,,,DNg62,,MX12__prim,MX12__prim,MX12__prim__3,acetylcholine,0.5604000067919123,,,right,CV,fw035474,FBbt_00047516,,DNg62,26421,0.0
79100103855923335,720575940632355885,123788,90539,3391,127376.0,92008.0,3650.0,4757036.0,efferent,descending,,,DNge020,,MX12,MX12,MX12__0,acetylcholine,0.8409459084706364,,,left,CV,fw037058,FBbt_00047516,,DNge020,108014,0.0
79240841344261915,720575940621181066,124875,90702,3394,131800.0,92200.0,4295.0,5448303.0,efferent,descending,,,DNge024,,MX12,MX12,MX12__0,acetylcholine,0.6940800649177168,,,left,CV,fw037064,FBbt_00047516,,DNge024,47769,0.0
79170472600061807,720575940619524852,124552,90589,3391,131104.0,92272.0,4127.0,4766804.0,efferent,descending,,,DNg12_b,,MX12,MX12,MX12__0,acetylcholine,0.7507323478427359,,,left,CV,fw037063,FBbt_00047604,,DNg12_b,39334,0.0
79170472600071102,720575940619133878,124425,90638,3394,131600.0,91416.0,3937.0,5433326.0,efferent,descending,,,DNge019,,MX12,MX12,MX12__0,acetylcholine,0.6107613249957213,,,left,CV,fw037062,FBbt_00047516,,DNge019,37968,0.0
79170472600055165,720575940618762605,124635,90553,3391,131632.0,92176.0,4203.0,5447632.0,efferent,descending,,,DNg12_b,,MX12,MX12,MX12__0,acetylcholine,0.3777756232634012,,,left,CV,fw037061,FBbt_00047604,,DNg12_b,36485,0.0
79170472600061832,720575940618147520,124732,90690,3391,131464.0,93080.0,4267.0,4799325.0,efferent,descending,,,DNg12_b,,MX12,MX12,MX12__0,acetylcholine,0.4671381169650255,,,left,CV,fw037060,FBbt_00047604,,DNg12_b,33817,0.0
79170472600061842,720575940617993607,124619,90665,3394,130872.0,91088.0,3990.0,4765460.0,efferent,descending,,,DNg12_b,,MX12,MX12,MX12__0,acetylcholine,0.8342728961096989,,,left,CV,fw037059,FBbt_00047604,,DNg12_b,33115,0.0
79170472600058005,720575940612427670,124576,90720,3391,131048.0,90912.0,3871.0,4765795.0,efferent,descending,,,DNg12_e,,MX12,MX12,MX12__0,acetylcholine,0.76611179553968,,,left,CV,fw037057,FBbt_00047604,,DNg12_e,14058,0.0
79170472600064449,720575940625422609,124660,90520,3394,130424.0,91056.0,4150.0,4794296.0,efferent,descending,,,DNg12_b,,MX12,MX12,MX12__0,acetylcholine,0.6711833780599173,,,left,CV,fw037066,FBbt_00047604,,DNg12_b,71380,0.0
79100103855939284,720575940612427414,123450,90459,3391,125568.0,91752.0,3782.0,4753687.0,efferent,descending,,,DNge020,,MX12,MX12,MX12__0,acetylcholine,0.8137337962954395,,,left,CV,fw037056,FBbt_00047516,,DNge020,14057,0.0
79170472600059108,720575940611700520,124479,90567,3391,130560.0,92736.0,4195.0,4794984.0,efferent,descending,,,DNg12_b,,MX12,MX12,MX12__0,acetylcholine,0.7864855722370838,,,left,CV,fw037055,FBbt_00047604,,DNg12_b,12014,0.0
79170472600056586,720575940632698541,124334,90428,3394,129632.0,91928.0,3964.0,4761276.0,efferent,descending,,,DNg12_b,,MX12,MX12,MX12__0,acetylcholine,0.591524865821877,,,left,CV,fw037054,FBbt_00047604,,DNg12_b,109609,0.0
79170472600072319,720575940608960722,124400,90560,3394,130776.0,91904.0,3953.0,4764932.0,efferent,descending,,,DNg12_b,,MX12,MX12,MX12__0,acetylcholine,0.6150328485802538,,,left,CV,fw037053,FBbt_00047604,,DNg12_b,6675,0.0
79029460367730534,720575940630221563,121932,86588,4188,131800.0,91320.0,4142.0,5434474.0,efferent,descending,,,DNge019,,MX12,MX12,MX12__0,acetylcholine,0.6054431748324006,,,left,CV,fw037052,FBbt_00047516,,DNge019,97549,0.0
80296372506900829,720575940626557442,140883,89738,3377,133944.0,92960.0,4288.0,5454267.0,efferent,descending,,,DNge173,,MX12__prim,MX12__prim,MX12__prim__0,acetylcholine,0.7852331142815859,,,right,CV,fw037051,FBbt_00051861,,DNge173,77052,0.0
79170472600063215,720575940628445169,124821,90665,3394,130840.0,93112.0,4319.0,4796552.0,efferent,descending,,,DNge024,,MX12,MX12,MX12__0,acetylcholine,0.6076212541304763,,,left,CV,fw037065,FBbt_00047516,,DNge024,88324,0.0
79170472600063162,720575940626849546,124058,90536,3391,128024.0,91992.0,3760.0,4758321.0,efferent,descending,,,DNge019,,MX12,MX12,MX12__0,acetylcholine,0.623766168352217,,,left,CV,fw037067,FBbt_00047516,,DNge019,78717,0.0
78888310630048054,720575940633543531,120295,80169,5027,106137.0,80390.0,4673.0,,efferent,descending,,,DNg110_c,,LB12,LB12,LB12__0,acetylcholine,0.5047519465919518,,,left,CV,fw037323,FBbt_00047516,,DNg110_c,112768,0.0
78817460782336731,720575940620231590,119604,73204,4431,123848.0,91304.0,3891.0,4750990.0,efferent,descending,,,DNge088,,MX3,MX3,MX3__6,glutamate,0.4209460963499533,,,left,CV,fw037077,FBbt_00047516,,DNge088,42524,0.0
78322749067709655,720575940623468691,112174,40784,2708,105009.0,30523.0,1902.0,,efferent,descending,,,,DNa10,WEDd1,DALd,,acetylcholine,0.6583663518937002,,,left,CV,fw037187,FBbt_00047581,,DNa10,60956,0.0
79170472600066927,720575940631035603,124312,90349,3391,128800.0,92784.0,4355.0,4790041.0,efferent,descending,,,DNge024,,MX12,MX12,MX12__0,acetylcholine,0.7555247368919596,,,left,CV,fw037082,FBbt_00047516,,DNge024,101905,0.0
79100103855940584,720575940622332403,123436,90536,3394,127776.0,92128.0,3866.0,4757969.0,efferent,descending,,,DNge020,,MX12,MX12,MX12__0,acetylcholine,0.4213362225823024,,,left,CV,fw037081,FBbt_00047516,,DNge020,54466,0.0
79100103855916613,720575940636761926,123273,90046,3391,127736.0,92384.0,4099.0,4757484.0,efferent,descending,,,DNg08_a,,MX3,MX3,MX3__3,glutamate,0.5713707389069185,,,left,CV,fw037080,FBbt_00047600,,DNg08_a,121014,0.0
79100103855931513,720575940631593753,123159,90429,3391,122688.0,91728.0,3759.0,4095088.0,efferent,descending,,,DNg08_b,,MX3,MX3,MX3__3,glutamate,0.5345110996032383,,,left,CV,fw037079,FBbt_00047600,,DNg08_b,104732,0.0
79100103855916651,720575940613929391,123619,90090,3391,129440.0,91712.0,4439.0,4791129.0,efferent,descending,,,DNg38,,putative_primary,putative_primary,,glutamate,0.447901145530963,,,left,CV,fw037078,FBbt_00047630,,DNg38,18857,0.0
79240016777587703,720575940631091407,125856,77814,3863,121672.0,91416.0,3428.0,4093701.0,efferent,descending,,,DNge099,,MX3,MX3,MX3__2,glutamate,0.6063538588567783,,,left,CV,fw037076,FBbt_00047516,,DNge099,102182,0.0
79170472600063160,720575940628378440,124562,90510,3394,130584.0,92056.0,4247.0,4794983.0,efferent,descending,,,DNge021,,MX12,MX12,MX12__0,acetylcholine,0.8954305783941019,,,left,CV,fw037068,FBbt_00047516,,DNge021,87936,0.0
79100103855925823,720575940618818395,123407,90182,3394,128680.0,92608.0,4179.0,4789527.0,efferent,descending,,,DNg08_b,,MX3,MX3,MX3__3,glutamate,0.6322732171303678,,,left,CV,fw037075,FBbt_00047600,,DNg08_b,36686,0.0
78676860665718028,720575940613816062,117381,74780,3838,130072.0,91016.0,3803.0,4762517.0,efferent,descending,,,DNg106,,MX3,MX3,MX3__5,gaba,0.4108377112304646,,,left,CV,fw037074,FBbt_00047516,,DNg106,18579,0.0
79240910063478126,720575940633529548,125035,90778,3394,129656.0,91856.0,3816.0,4760855.0,efferent,descending,,,DNg74_a,,MX3,MX3,MX3__2,gaba,0.584286599908013,,,left,CV,fw037072,FBbt_00051961,,DNg74_a,112729,0.0
79240841344268545,720575940632620991,124887,90649,3391,131336.0,91256.0,4230.0,4798746.0,efferent,descending,,,DNge019,,MX12,MX12,MX12__0,acetylcholine,0.5716679403321487,,,left,CV,fw037071,FBbt_00047516,,DNge019,109269,0.0
79170472600069662,720575940615623051,124758,90598,3391,131040.0,92368.0,4342.0,4797618.0,efferent,descending,,,DNg12_b,,MX12,MX12,MX12__0,acetylcholine,0.3298401380411585,,,left,CV,fw037070,FBbt_00047604,,DNg12_b,24438,0.0
79170472600072211,720575940617074393,124506,90373,3391,129176.0,92000.0,4283.0,4790713.0,efferent,descending,,,DNg12_a,,MX12,MX12,MX12__0,acetylcholine,0.7343333942113269,,,left,CV,fw037069,FBbt_00047604,,DNg12_a,29559,0.0
80366741251081745,720575940619077755,141620,89789,3377,137416.0,91920.0,4356.0,5460182.0,efferent,descending,,,DNge029,,MX12__prim,MX12__prim,MX12__prim__2,glutamate,0.5646297993341591,,,right,CV,fw039190,FBbt_00047516,,DNge029,37753,0.0
80225935043090949,720575940612629210,139316,89098,3257,139448.0,92256.0,3741.0,5446355.0,efferent,descending,,,DNge088,,MX3,MX3,MX3__6,acetylcholine,0.3914120008014025,,,right,CV,fw039191,FBbt_00047516,,DNge088,14704,0.0
80155016610088718,720575940647029044,138299,80930,3690,137904.0,92200.0,3995.0,5443317.0,efferent,descending,,,DNg105,,MX3,MX3,MX3__2,acetylcholine,0.3265280905986432,,,right,CV,fw039193,FBbt_00047516,,DNg105,135576,0.0
79381098131585396,720575940620543025,127136,83143,5799,122240.0,86947.0,1989.0,,efferent,descending,,,DNg34,,putative_primary,putative_primary,,octopamine,0.7924284663590591,,,left,CV,fw042092,"FBbt_00047626, FBbt_00110149",,DNg34,44009,0.0
80155154317554771,720575940623128269,138231,83158,5798,129752.0,90856.0,4247.0,4791776.0,efferent,descending,,,DNg37,,putative_primary,putative_primary,,acetylcholine,0.8709248375426462,,,left,CV,fw042098,FBbt_00047629,,DNg37,58917,0.0
80084854292848803,720575940626672058,137624,84347,5798,129512.0,92728.0,4261.0,4791220.0,efferent,descending,,,DNge056,,putative_primary,putative_primary,,acetylcholine,0.8477859888282971,,,left,CV,fw042097,FBbt_00047516,,DNge056,77690,0.0
80225454342255187,720575940605300140,139899,82206,5798,124984.0,90784.0,3060.0,4749238.0,efferent,descending,,,DNg26,,MX0__prim,MX0__prim,MX0__prim__0,serotonin,0.6547444814788778,,,right,CV,fw042096,FBbt_00047618,,DNg26,1543,0.0
80155085598075153,720575940625863728,138717,81704,5798,131784.0,91008.0,4515.0,5447831.0,efferent,descending,,,DNg109,,putative_primary,putative_primary,,acetylcholine,0.7017360046134689,,,left,CV,fw042095,FBbt_00047516,,DNg109,73607,0.0
