family,target_super_class,target_n_roots,target_sampled_fraction,target_mean_selected_frames,target_mean_spike_frames,target_corr_target_bearing_voltage,target_corr_target_bearing_asymmetry,target_corr_forward_speed_voltage,target_corr_turn_drive_asymmetry,target_mean_spike_per_frame,target_mean_voltage_mv,no_target_super_class,no_target_n_roots,no_target_sampled_fraction,no_target_mean_selected_frames,no_target_mean_spike_frames,no_target_corr_target_bearing_voltage,no_target_corr_target_bearing_asymmetry,no_target_corr_forward_speed_voltage,no_target_corr_turn_drive_asymmetry,no_target_mean_spike_per_frame,no_target_mean_voltage_mv,target_minus_no_target_mean_spike_frames,target_minus_no_target_mean_selected_frames
lLN2X07,central,3,0.0,5.666666666666667,5.666666666666667,-0.24751667008439707,0.09293226592260843,0.09556947915945584,-0.019188659500622315,0.028333333333333332,-50.96536636352539,central,3,0.0,2.3333333333333335,2.3333333333333335,,,-0.05174789735351124,-0.11149709986768166,0.011666666666666665,-50.924842834472656,3.3333333333333335,3.3333333333333335
lLN2T_e,central,4,0.0,5.5,5.5,-0.08719355243506566,0.0053062768388153205,0.049004196318077446,0.008684298762314475,0.0275,-51.194454193115234,central,4,0.0,4.0,4.0,,,0.12140311794783912,0.011007085181429215,0.02,-51.148475646972656,1.5,1.5
LHAV4a2,central,4,0.0,5.75,5.5,-0.09564615230821213,0.025488023988282017,0.0035681110217320564,0.0742461473761996,0.0275,-50.741485595703125,central,4,0.0,3.25,3.0,,,0.09555059895301674,-0.005703266391454361,0.015,-50.6921501159668,2.5,2.5
M_l2PN3t18,central,4,0.0,5.5,5.5,-0.2604955503098374,0.010294232073596693,0.06291781242315629,0.07312474030227233,0.0275,-50.917930603027344,central,4,0.0,2.5,2.5,,,0.04818354430268113,0.0010493732594365032,0.0125,-50.747501373291016,3.0,3.0
lLN2F_b,central,4,0.0,5.5,5.25,0.034507144794847934,-0.024213302050800894,-0.010151524906659984,0.011700386747005529,0.02625,-51.2648811340332,central,4,0.0,8.25,8.0,,,0.18149050289094523,-0.008083978797591937,0.04,-51.3044548034668,-2.75,-2.75
il3LN6,central,2,0.0,5.0,5.0,-0.08382416540701729,0.004826351280989054,0.09057453545886752,0.07528433708387464,0.025,-51.196250915527344,central,2,0.0,8.0,8.0,,,0.07119764572185087,-0.08351511825566969,0.04,-51.34601593017578,-3.0,-3.0
VL2p_adPN,central,2,0.0,5.0,5.0,-0.09151892041072063,0.03430523644555513,-0.05985960647264874,0.0034803123221876335,0.025,-51.075233459472656,central,2,0.0,6.5,6.5,,,0.11722360138972064,0.006436049917172164,0.0325,-51.140079498291016,-1.5,-1.5
CB3827,optic,4,0.0,8.0,5.0,-0.18821833006378347,-0.03423352919591464,-0.03991217532470986,0.03830916457348045,0.025,-53.22285079956055,optic,4,0.0,10.5,6.0,,,-0.0968409797893605,0.06878292177394836,0.03,-53.853946685791016,-1.0,-2.5
lLN2X04,central,4,0.0,5.0,5.0,-0.4012184858772374,0.36554477093269067,0.14226203115977049,-0.02365609351899659,0.025,-51.53937530517578,central,4,0.0,4.25,4.25,,,0.10703447988753223,-0.3191075085444988,0.02125,-51.572383880615234,0.75,0.75
ALBN1,central,2,0.0,5.0,5.0,-0.0860982961002586,0.10192309261554275,0.05985149477194605,0.1188148759000105,0.025,-50.740936279296875,central,2,0.0,4.0,4.0,,,-0.04491984603175301,0.09954471485454297,0.02,-50.932655334472656,1.0,1.0
lLN2T_c,central,4,0.0,5.0,5.0,-0.29779393856112296,0.10753388362063837,0.1398059167386361,0.0566009460768084,0.025,-51.87937545776367,central,4,0.0,4.0,4.0,,,0.06379248413874399,-0.06635200433862776,0.02,-51.7707405090332,1.0,1.0
