brain_index,from_overlap,to_motor,root_id,cell_type,side,score
116356,87,17,720575940634908272,LC31a,left,1479
119331,48,30,720575940635986522,unknown,unknown,1440
12934,275,5,720575940612045352,unknown,unknown,1375
43785,192,7,720575940620498379,unknown,unknown,1344
129,163,8,720575940603174572,LCe06,left,1304
35171,428,3,720575940618450496,unknown,unknown,1284
59573,40,32,720575940623232392,LC19,left,1280
9792,628,2,720575940610739918,LT82a,left,1256
72249,311,4,720575940625602818,unknown,unknown,1244
47510,206,6,720575940621132422,unknown,unknown,1236
57892,411,3,720575940622958059,unknown,unknown,1233
71655,205,6,720575940625477721,unknown,unknown,1230
37020,608,2,720575940618902488,LT82b,left,1216
119476,46,26,720575940636056895,unknown,unknown,1196
51404,199,6,720575940621799081,unknown,unknown,1194
115035,295,4,720575940634356587,LT82b,right,1180
117706,38,31,720575940635376052,unknown,unknown,1178
1225,107,11,720575940605024386,LC31a,left,1177
26939,386,3,720575940616333627,unknown,unknown,1158
102745,68,17,720575940631193856,LC31a,left,1156
13833,53,21,720575940612354983,unknown,unknown,1113
23668,555,2,720575940615391638,LT82a,left,1110
26733,363,3,720575940616281817,unknown,unknown,1089
32192,181,6,720575940617767990,unknown,unknown,1086
4792,359,3,720575940607528971,unknown,unknown,1077
78804,89,12,720575940626860817,LC31b,left,1068
113805,266,4,720575940633859810,unknown,unknown,1064
100229,519,2,720575940630731847,unknown,unknown,1038
32631,47,22,720575940617878869,unknown,unknown,1034
17443,339,3,720575940613463954,unknown,unknown,1017
65421,77,13,720575940624273508,unknown,unknown,1001
58748,331,3,720575940623097271,unknown,unknown,993
108811,461,2,720575940632512226,unknown,unknown,922
32456,27,34,720575940617836117,unknown,unknown,918
10842,113,8,720575940611227050,unknown,unknown,904
18617,112,8,720575940613829388,LC31b,left,896
15787,52,17,720575940612942442,unknown,unknown,884
86153,-96,-9,720575940628082053,unknown,unknown,864
38098,48,18,720575940619163045,unknown,unknown,864
28241,213,4,720575940616725689,unknown,unknown,852
122453,-77,-11,720575940637416078,unknown,unknown,847
54345,165,5,720575940622312072,unknown,unknown,825
27478,412,2,720575940616491993,unknown,unknown,824
