root_id,region,flow,super_class,cell_class,cell_type,side
903536,T3,intrinsic,interneuron,BR|premotor_candidate,IN03A068,L
903545,T1,intrinsic,interneuron,IR|premotor_candidate,IN16B016,R
903551,T1,intrinsic,interneuron,BR|premotor_candidate,IN04B047,L
903570,T1,intrinsic,interneuron,IR|premotor_candidate,IN09A010,L
903572,T1,intrinsic,interneuron,BR|premotor_candidate,IN19B003,L
903573,T1,intrinsic,interneuron,IR|premotor_candidate,IN13A006,R
903574,T1,intrinsic,interneuron,II|premotor_candidate,IN19A012,R
903579,T2,efferent,motor,ml,Tr flexor MN,L
903602,T1,intrinsic,interneuron,IR|premotor_candidate,IN19A003,L
903604,T3,intrinsic,interneuron,IR|premotor_candidate,IN08A002,L
903613,T3,intrinsic,interneuron,BR|premotor_candidate,IN01A011,R
903642,T3,efferent,motor,hl,Sternal posterior rotator MN,R
903643,T3,efferent,motor,hl,Sternal posterior rotator MN,R
903653,T2,intrinsic,interneuron,BR|premotor_candidate,IN19B003,R
903665,T3,intrinsic,interneuron,IR|premotor_candidate,IN09A010,R
903689,T2,efferent,motor,ml,Sternal anterior rotator MN,L
903699,T3,intrinsic,interneuron,premotor_candidate,IN20A.22A051,R
903700,T2,intrinsic,interneuron,IR|premotor_candidate,IN13A005,R
903701,T2,intrinsic,interneuron,II|premotor_candidate,IN13A022,R
903801,T2,intrinsic,interneuron,BR|premotor_candidate,INXXX083,R
903819,T1,intrinsic,interneuron,BI|premotor_candidate,IN08B001,R
903833,T1,intrinsic,interneuron,BR|premotor_candidate,IN04B019,L
903840,T1,intrinsic,interneuron,IR|premotor_candidate,IN04B037,L
903844,T2,efferent,motor,ml,MNml80,R
903852,T2,efferent,motor,wm,hg3 MN,R
903855,T2,intrinsic,interneuron,BI|premotor_candidate,IN08B004,R
903881,T3,efferent,motor,,ENXXX226,R
903903,T3,intrinsic,interneuron,BR|premotor_candidate,IN16B020,R
904022,T2,intrinsic,interneuron,BI|premotor_candidate,IN19B110,R
904034,T1,intrinsic,interneuron,BR|premotor_candidate,IN04B101,L
904036,T2,intrinsic,interneuron,BI|premotor_candidate,IN12B018,L
904042,T2,intrinsic,interneuron,II|premotor_candidate,IN12A012,R
904043,T2,intrinsic,interneuron,BI|premotor_candidate,IN11B024_c,R
904044,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A056,L
904103,T2,intrinsic,interneuron,II|premotor_candidate,IN11B013,R
904107,T3,intrinsic,interneuron,IR|premotor_candidate,IN04B088,L
904113,T2,intrinsic,interneuron,premotor_candidate,IN12A052_b,R
904118,T3,intrinsic,interneuron,BR|premotor_candidate,IN01A042,L
904129,T1,intrinsic,interneuron,premotor_candidate,,L
904161,T2,intrinsic,interneuron,BR|premotor_candidate,IN19B067,L
904164,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A074,R
904184,T3,efferent,motor,hl,Sternal adductor MN,L
904212,T1,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A028,L
904236,T2,intrinsic,interneuron,IR|premotor_candidate,IN21A018,L
904245,T1,intrinsic,interneuron,BI|premotor_candidate,IN07B016,R
904247,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A033,R
904262,T2,intrinsic,interneuron,IR|premotor_candidate,IN13A018,R
904271,T3,intrinsic,interneuron,BR|premotor_candidate,IN12B012,R
904280,T1,intrinsic,interneuron,BR|premotor_candidate,IN16B020,L
904322,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A071,L
904363,T3,intrinsic,interneuron,IR|premotor_candidate,IN17A058,R
904366,T3,intrinsic,interneuron,premotor_candidate,"IN03A087, IN03A092",R
904395,T1,intrinsic,interneuron,BI|premotor_candidate,IN01A022,R
904399,T2,intrinsic,interneuron,BR|premotor_candidate,IN19B067,R
904400,T2,intrinsic,interneuron,premotor_candidate,dMS2,R
904422,T2,intrinsic,interneuron,premotor_candidate,IN03A091,R
904423,T1,intrinsic,interneuron,BI|premotor_candidate,IN12A008,R
904427,T2,intrinsic,interneuron,IR|premotor_candidate,IN16B041,L
904525,T2,intrinsic,interneuron,IR|premotor_candidate,IN09A010,R
904587,T2,intrinsic,interneuron,BI|premotor_candidate,IN07B001,R
904589,T1,intrinsic,interneuron,IR|premotor_candidate,IN08A005,R
904639,T2,intrinsic,interneuron,BI|premotor_candidate,IN06A002,R
904640,T3,intrinsic,interneuron,IR|premotor_candidate,IN17A007,R
904656,T3,intrinsic,interneuron,CI|premotor_candidate,IN01A031,R
904657,T2,efferent,motor,ml,Sternotrochanter MN,L
904673,T3,intrinsic,interneuron,IR|premotor_candidate,IN20A.22A007,L
904675,T1,intrinsic,interneuron,BI|premotor_candidate,INXXX089,L
904685,T2,intrinsic,interneuron,IR|premotor_candidate,IN13A001,L
904707,T1,intrinsic,interneuron,IR|premotor_candidate,IN13A006,L
904720,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A060,R
904736,T2,intrinsic,interneuron,IR|premotor_candidate,IN13A009,L
904743,T2,intrinsic,interneuron,IR|premotor_candidate,IN21A010,R
904764,T2,intrinsic,interneuron,IR|premotor_candidate,IN17A044,R
904800,T2,intrinsic,interneuron,BI|premotor_candidate,INXXX023,L
904813,T2,intrinsic,interneuron,BI|premotor_candidate,IN19B033,R
904826,T1,intrinsic,interneuron,premotor_candidate,IN17A052,L
904827,T1,intrinsic,interneuron,premotor_candidate,IN13A045,L
904830,T1,intrinsic,interneuron,II|premotor_candidate,IN02A033,L
904831,T1,intrinsic,interneuron,CR|premotor_candidate,IN01A030,R
904838,T1,intrinsic,interneuron,premotor_candidate,IN13A035,L
904844,T2,intrinsic,interneuron,BI|premotor_candidate,IN18B005,L
904846,T2,intrinsic,interneuron,BI|premotor_candidate,IN08B073,L
904900,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A044,R
904915,T2,intrinsic,interneuron,BI|premotor_candidate,IN18B020,L
904928,T3,intrinsic,interneuron,premotor_candidate,IN03A081,R
904933,T2,intrinsic,interneuron,BI|premotor_candidate,IN11A028,R
904945,T2,intrinsic,interneuron,BI|premotor_candidate,IN03B058,L
904957,T2,intrinsic,interneuron,BI|premotor_candidate,IN11A028,R
904979,T3,intrinsic,interneuron,premotor_candidate,IN04B068,L
904989,T1,intrinsic,interneuron,BR|premotor_candidate,IN08A003,L
905000,T3,intrinsic,interneuron,IR|premotor_candidate,IN08A007,L
905004,T1,intrinsic,interneuron,II|premotor_candidate,IN02A029,L
905005,T1,intrinsic,interneuron,II|premotor_candidate,IN02A029,L
905009,T2,intrinsic,interneuron,IR|premotor_candidate,IN08A006,R
905010,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A047,R
905024,T2,intrinsic,interneuron,IR|premotor_candidate,IN21A075,L
