root_id,region,flow,super_class,cell_class,cell_type,side
804296,T2,intrinsic,interneuron,BR|premotor_candidate,IN04B033,L
804297,T2,intrinsic,interneuron,premotor_candidate,IN12A061_d,L
804301,T2,efferent,motor,wm,b1 MN,R
804307,T2,intrinsic,interneuron,IR|premotor_candidate,IN13A020,L
804311,T1,intrinsic,interneuron,BI|premotor_candidate,IN02A015,R
804312,T2,intrinsic,interneuron,premotor_candidate,IN20A.22A021,L
804316,T2,intrinsic,interneuron,premotor_candidate,IN20A.22A067,R
804321,T2,intrinsic,interneuron,CR|premotor_candidate,IN12B037_a,R
804323,T2,intrinsic,interneuron,BI|premotor_candidate,IN08B051_b,R
804325,T3,intrinsic,interneuron,premotor_candidate,IN06B047,R
804331,T2,intrinsic,interneuron,premotor_candidate,IN04B078,R
804333,T3,intrinsic,interneuron,BI|premotor_candidate,IN08B082,L
804334,T1,intrinsic,interneuron,IR|premotor_candidate,IN03A080,L
804337,T3,intrinsic,interneuron,BR|premotor_candidate,IN14B010,R
804338,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A039,L
804340,T3,intrinsic,interneuron,premotor_candidate,IN03A048,L
804343,T1,efferent,motor,nm,ADNM2 MN,L
804347,T3,intrinsic,interneuron,BR|premotor_candidate,IN14B010,L
804348,T2,intrinsic,interneuron,BI|premotor_candidate,IN08B068,R
804350,T1,intrinsic,interneuron,BI|premotor_candidate,TN1a_g,L
804353,T3,intrinsic,interneuron,BI|premotor_candidate,IN06A043,L
804357,T1,intrinsic,interneuron,II|premotor_candidate,IN03B043,L
804359,T3,intrinsic,interneuron,BR|premotor_candidate,IN04B029,R
804374,T3,intrinsic,interneuron,IR|premotor_candidate,IN13A020,R
804376,T2,intrinsic,interneuron,BI|premotor_candidate,IN07B031,L
804385,T1,intrinsic,interneuron,BR|premotor_candidate,IN12B020,R
804389,T1,intrinsic,interneuron,IR|premotor_candidate,IN03A046,R
804391,T2,intrinsic,interneuron,premotor_candidate,IN04B017,L
804394,T1,intrinsic,interneuron,BI|premotor_candidate,IN11A006,L
804396,T2,intrinsic,interneuron,premotor_candidate,IN03A030,R
804401,T2,intrinsic,interneuron,II|premotor_candidate,IN03A030,L
804402,T3,intrinsic,interneuron,BI|premotor_candidate,IN11A046,L
804405,T2,efferent,motor,ml,Ti flexor MN,R
804406,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A075,R
804409,T3,intrinsic,interneuron,BI|premotor_candidate,IN04A002,R
804410,T3,intrinsic,interneuron,BI|premotor_candidate,IN07B039,R
804415,T1,intrinsic,interneuron,IR|premotor_candidate,IN03A022,R
804418,T2,intrinsic,interneuron,premotor_candidate,IN04B017,R
804422,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A039,L
804426,T2,intrinsic,interneuron,premotor_candidate,"IN20A.22A036,IN20A.22A072",R
804428,T2,intrinsic,interneuron,premotor_candidate,IN07B081,L
804429,T2,intrinsic,interneuron,premotor_candidate,IN02A049,R
804433,T3,intrinsic,interneuron,IR|premotor_candidate,IN17A041,L
804435,T2,intrinsic,interneuron,BR|premotor_candidate,IN12B024_b,R
804438,T2,intrinsic,interneuron,II|premotor_candidate,IN03A030,L
804442,T1,intrinsic,interneuron,IR|premotor_candidate,IN03B035,R
804449,T2,intrinsic,interneuron,BI|premotor_candidate,IN07B038,L
804455,T3,intrinsic,interneuron,premotor_candidate,IN08A037,L
804462,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A059,L
804463,T3,intrinsic,interneuron,BI|premotor_candidate,IN07B039,R
804465,T1,efferent,motor,fl,Tergotr. MN,L
804467,T3,intrinsic,interneuron,BR|premotor_candidate,IN07B067,R
804468,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A017,R
804469,T3,intrinsic,interneuron,BI|premotor_candidate,IN18B040,R
804472,T3,intrinsic,interneuron,CR|premotor_candidate,IN14A008,L
