task,input_group,frequency_hz,duration_ms,adn1_left_hz,adn1_right_hz,abn1_hz,adn1_left_voltage,adn1_right_voltage,abn1_voltage,adn1_left_conductance,adn1_right_conductance,abn1_conductance,adn1_total_hz,adn1_asymmetry_hz
grooming,jon_all,20.0,100.0,0.0,0.0,0.0,-51.958740234375,-51.955745697021484,-49.527931213378906,0.08082863688468933,0.09420322626829147,3.101794481277466,0.0,0.0
grooming,jon_all,40.0,100.0,0.0,0.0,0.0,-51.815128326416016,-51.779659271240234,-48.422462463378906,0.2448797971010208,0.29192277789115906,4.553208351135254,0.0,0.0
grooming,jon_all,60.0,100.0,0.0,0.0,10.0,-51.61691665649414,-51.147682189941406,-49.08629608154297,0.5032674670219421,1.4669829607009888,4.213959693908691,0.0,0.0
grooming,jon_all,80.0,100.0,0.0,0.0,10.0,-51.51582336425781,-50.59220886230469,-48.83747100830078,0.5888474583625793,1.5659033060073853,5.45639705657959,0.0,0.0
grooming,jon_all,100.0,100.0,0.0,0.0,10.0,-51.543025970458984,-50.62903594970703,-50.14605712890625,0.5557177066802979,1.5301709175109863,4.629804611206055,0.0,0.0
grooming,jon_all,120.0,100.0,0.0,0.0,10.0,-51.50725173950195,-50.57442092895508,-48.87338638305664,0.6533499360084534,1.6230602264404297,5.242552757263184,0.0,0.0
grooming,jon_all,140.0,100.0,0.0,0.0,10.0,-51.425926208496094,-50.48335266113281,-49.35536193847656,0.7173358201980591,1.690875768661499,5.315184593200684,0.0,0.0
grooming,jon_all,160.0,100.0,0.0,0.0,20.0,-51.323978424072266,-49.49442672729492,-50.48153305053711,0.8988307118415833,2.938082456588745,4.55867338180542,0.0,0.0
grooming,jon_all,180.0,100.0,0.0,0.0,20.0,-51.286964416503906,-49.420494079589844,-49.47275924682617,0.8893160820007324,2.9422121047973633,6.571080207824707,0.0,0.0
grooming,jon_all,200.0,100.0,0.0,0.0,20.0,-51.30110549926758,-49.51136016845703,-50.09255599975586,0.9397495985031128,3.0554728507995605,5.448911666870117,0.0,0.0
grooming,jon_all,220.0,100.0,0.0,0.0,20.0,-51.2191047668457,-49.46110153198242,-50.512081146240234,1.004443645477295,3.1163277626037598,4.7563300132751465,0.0,0.0
