cell_type,sides
AN17B007,L|R
AN17B008,L|R
AN17B009,L|R
AN17B011,L|R
AN17B012,L|R
AN17B013,L|R
AN17B016,L|R
AN18B001,L|R
AN18B002,L|R
AN18B003,L|R
AN18B004,L|R
AN18B019,L|R
AN18B020,L|R
AN18B022,L|R
AN18B023,L|R
AN18B025,L|R
AN18B032,L|R
AN18B053,L|R
AN19A018,L|R
AN19A019,L|R
AN19A038,L|R
AN19B001,L|R
AN19B004,L|R
AN19B009,L|R
AN19B010,L|R
AN19B014,L|R
AN19B015,L|R
AN19B017,L|R
AN19B018,L|R
AN19B019,L|R
AN19B022,L|R
AN19B024,L|R
AN19B025,L|R
AN19B028,L|R
AN19B032,L|R
AN19B036,L|R
AN19B039,L|R
AN19B042,L|R
AN19B044,L|R
AN19B046,L|R
AN19B049,L|R
AN19B051,L|R
AN19B059,L|R
AN19B060,L|R
AN19B061,L|R
AN19B063,L|R
AN19B065,L|R
AN19B076,L|R
AN19B079,L|R
AN19B093,L|R
AN19B098,L|R
AN19B099,L|R
AN19B100,L|R
AN19B101,L|R
AN19B102,L|R
AN19B104,L|R
AN19B106,L|R
AN19B110,L|R
AN23B001,L|R
AN23B002,L|R
AN23B003,L|R
AN23B004,L|R
AN23B010,L|R
AN23B026,L|R
AN26X004,L|R
AN27X003,L|R
AN27X004,L|R
AN27X008,L|R
AN27X009,L|R
AN27X011,L|R
AN27X013,L|R
AN27X015,L|R
AN27X016,L|R
AN27X017,L|R
AN27X018,L|R
AN27X019,L|R
AN27X020,L|R
AN27X021,L|R
AN27X022,L|R
AN27X024,L|R
ANXXX002,L|R
ANXXX005,L|R
ANXXX006,L|R
ANXXX007,L|R
ANXXX008,L|R
ANXXX013,L|R
ANXXX023,L|R
ANXXX024,L|R
ANXXX026,L|R
ANXXX027,L|R
ANXXX030,L|R
ANXXX033,L|R
ANXXX037,L|R
ANXXX041,L|R
ANXXX049,L|R
ANXXX050,L|R
ANXXX055,L|R
ANXXX057,L|R
ANXXX068,L|R
ANXXX071,L|R
ANXXX072,L|R
ANXXX074,L|R
ANXXX075,L|R
ANXXX082,L|R
ANXXX084,L|R
ANXXX086,L|R
ANXXX092,L|R
ANXXX093,L|R
ANXXX094,L|R
ANXXX098,L|R
ANXXX099,L|R
ANXXX102,L|R
ANXXX106,L|R
ANXXX108,L|R
ANXXX109,L|R
ANXXX116,L|R
ANXXX120,L|R
ANXXX127,L|R
ANXXX130,L|R
ANXXX131,L|R
ANXXX132,L|R
ANXXX136,L|R
ANXXX139,L|R
ANXXX144,L|R
ANXXX145,L|R
ANXXX150,L|R
ANXXX151,L|R
ANXXX152,L|R
ANXXX154,L|R
ANXXX157,L|R
ANXXX165,L|R
ANXXX169,L|R
ANXXX170,L|R
ANXXX171,L|R
ANXXX174,L|R
ANXXX178,L|R
ANXXX191,L|R
ANXXX196,L|R
ANXXX200,L|R
ANXXX202,L|R
ANXXX214,L|R
ANXXX218,L|R
ANXXX250,L|R
ANXXX254,L|R
ANXXX255,L|R
ANXXX264,L|R
ANXXX296,L|R
ANXXX308,L|R
ANXXX318,L|R
ANXXX380,L|R
ANXXX404,L|R
ANXXX410,L|R
ANXXX434,L|R
ANXXX462a,L|R
ANXXX462b,L|R
AOTU001,L|R
AOTU002_a,L|R
AOTU002_b,L|R
AOTU002_c,L|R
AOTU003,L|R
AOTU004,L|R
AOTU005,L|R
AOTU006,L|R
AOTU007,L|R
AOTU007_a,L|R
AOTU007_b,L|R
AOTU008,L|R
AOTU009,L|R
AOTU011,L|R
AOTU012,L|R
AOTU013,L|R
AOTU014,L|R
AOTU015,L|R
AOTU016_a,L|R
AOTU016_b,L|R
AOTU016_c,L|R
AOTU017,L|R
AOTU018,L|R
AOTU019,L|R
AOTU020,L|R
AOTU021,L|R
AOTU022,L|R
AOTU023,L|R
AOTU024,L|R
AOTU025,L|R
AOTU026,L|R
AOTU027,L|R
AOTU028,L|R
AOTU029,L|R
AOTU030,L|R
AOTU032,L|R
AOTU033,L|R
AOTU034,L|R
AOTU035,L|R
AOTU036,L|R
AOTU037,L|R
AOTU038,L|R
AOTU039,L|R
AOTU040,L|R
AOTU041,L|R
AOTU042,L|R
AOTU043,L|R
AOTU045,L|R
AOTU046,L|R
AOTU047,L|R
AOTU048,L|R
AOTU049,L|R
AOTU050,L|R
AOTU051,L|R
AOTU052,L|R
AOTU053,L|R
AOTU054,L|R
AOTU055,L|R
AOTU056,L|R
AOTU058,L|R
AOTU059,L|R
AOTU060,L|R
AOTU061,L|R
AOTU062,L|R
AOTU063_a,L|R
AOTU063_b,L|R
AOTU064,L|R
AOTU065,L|R
AOTU100m,L|R
AOTU101m,L|R
AOTU102m,L|R
AOTU103m,L|R
APL,L|R
ATL001,L|R
ATL002,L|R
ATL003,L|R
ATL004,L|R
ATL005,L|R
ATL006,L|R
ATL007,L|R
ATL008,L|R
ATL009,L|R
ATL011,L|R
ATL012,L|R
ATL013,L|R
ATL014,L|R
ATL015,L|R
ATL016,L|R
ATL017,L|R
ATL018,L|R
ATL019,L|R
ATL020,L|R
ATL021,L|R
ATL022,L|R
ATL023,L|R
ATL024,L|R
ATL025,L|R
ATL026,L|R
ATL027,L|R
ATL028,L|R
ATL029,L|R
ATL030,L|R
ATL031,L|R
ATL032,L|R
ATL033,L|R
ATL034,L|R
ATL035,L|R
ATL036,L|R
ATL037,L|R
ATL038,L|R
ATL039,L|R
ATL040,L|R
ATL041,L|R
ATL042,L|R
ATL043,L|R
ATL044,L|R
ATL045,L|R
AVL006_a,L|R
AVLP001,L|R
AVLP002,L|R
AVLP003,L|R
AVLP004_a,L|R
AVLP004_b,L|R
AVLP005,L|R
AVLP009,L|R
AVLP013,L|R
AVLP015,L|R
AVLP016,L|R
AVLP017,L|R
AVLP018,L|R
AVLP019,L|R
AVLP020,L|R
AVLP021,L|R
AVLP022,L|R
AVLP023,L|R
AVLP024_a,L|R
AVLP024_b,L|R
AVLP024_c,L|R
AVLP025,L|R
AVLP026,L|R
AVLP027,L|R
AVLP028,L|R
AVLP029,L|R
AVLP031,L|R
AVLP032,L|R
AVLP033,L|R
AVLP034,L|R
AVLP035,L|R
AVLP036,L|R
AVLP037,L|R
AVLP038,L|R
AVLP039,L|R
AVLP040,L|R
AVLP041,L|R
AVLP042,L|R
AVLP043,L|R
AVLP044_a,L|R
AVLP044_b,L|R
AVLP045,L|R
AVLP046,L|R
AVLP047,L|R
AVLP048,L|R
AVLP049,L|R
AVLP050,L|R
AVLP051,L|R
AVLP053,L|R
AVLP055,L|R
AVLP059,L|R
AVLP060,L|R
AVLP062,L|R
AVLP063,L|R
AVLP064,L|R
AVLP065,L|R
AVLP067,L|R
AVLP069_a,L|R
AVLP069_b,L|R
AVLP069_c,L|R
AVLP075,L|R
AVLP076,L|R
AVLP077,L|R
AVLP078,L|R
AVLP079,L|R
AVLP080,L|R
AVLP081,L|R
AVLP082,L|R
AVLP084,L|R
AVLP085,L|R
AVLP086,L|R
AVLP087,L|R
AVLP088,L|R
AVLP089,L|R
AVLP090,L|R
AVLP091,L|R
AVLP093,L|R
AVLP094,L|R
AVLP095,L|R
AVLP096,L|R
AVLP097,L|R
AVLP098,L|R
AVLP099,L|R
AVLP101,L|R
AVLP102,L|R
AVLP103,L|R
AVLP104,L|R
AVLP105,L|R
AVLP107,L|R
AVLP108,L|R
AVLP109,L|R
AVLP110_a,L|R
AVLP110_b,L|R
AVLP111,L|R
AVLP112,L|R
AVLP113,L|R
AVLP115,L|R
AVLP116,L|R
AVLP117,L|R
AVLP120,L|R
AVLP121,L|R
AVLP124,L|R
AVLP126,L|R
AVLP129,L|R
AVLP132,L|R
AVLP136,L|R
AVLP137,L|R
AVLP138,L|R
AVLP139,L|R
AVLP140,L|R
AVLP143,L|R
AVLP145,L|R
AVLP147,L|R
AVLP149,L|R
AVLP152,L|R
AVLP153,L|R
AVLP154,L|R
AVLP155_a,L|R
AVLP155_b,L|R
AVLP156,L|R
AVLP157,L|R
AVLP158,L|R
AVLP159,L|R
AVLP160,L|R
AVLP161,L|R
AVLP162,L|R
AVLP163,L|R
AVLP164,L|R
AVLP165,L|R
AVLP166,L|R
AVLP168,L|R
AVLP169,L|R
AVLP170,L|R
AVLP173,L|R
AVLP175,L|R
AVLP176_b,L|R
AVLP176_c,L|R
AVLP176_d,L|R
AVLP177_a,L|R
AVLP178,L|R
AVLP179,L|R
AVLP180,L|R
AVLP182,L|R
AVLP183,L|R
AVLP184,L|R
AVLP186,L|R
AVLP187,L|R
AVLP188,L|R
AVLP189_a,L|R
AVLP189_b,L|R
AVLP190,L|R
AVLP191,L|R
AVLP192_a,L|R
AVLP192_b,L|R
AVLP193,L|R
AVLP194_a,L|R
AVLP194_b1,L|R
AVLP194_b2,L|R
AVLP194_c1,L|R
AVLP194_c2,L|R
AVLP194_c3,L|R
AVLP195,L|R
AVLP197,L|R
AVLP198,L|R
AVLP199,L|R
AVLP200,L|R
AVLP201,L|R
AVLP202,L|R
AVLP203_a,L|R
AVLP203_b,L|R
AVLP203_c,L|R
AVLP204,L|R
AVLP205,L|R
AVLP209,L|R
AVLP210,L|R
AVLP211,L|R
AVLP212,L|R
AVLP213,L|R
AVLP214,L|R
AVLP215,L|R
AVLP216,L|R
AVLP217,L|R
AVLP218_a,L|R
AVLP218_b,L|R
AVLP219_a,L|R
AVLP219_b,L|R
AVLP219_c,L|R
AVLP220,L|R
AVLP221,L|R
AVLP222,L|R
AVLP224_a,L|R
AVLP224_b,L|R
AVLP225_a,L|R
AVLP225_b1,L|R
AVLP225_b2,L|R
AVLP225_b3,L|R
AVLP227,L|R
AVLP229,L|R
AVLP230,L|R
AVLP231,L|R
AVLP232,L|R
AVLP234,L|R
AVLP235,L|R
AVLP243,L|R
AVLP244,L|R
AVLP250,L|R
AVLP251,L|R
AVLP252,L|R
AVLP253,L|R
AVLP254,L|R
