family,super_class,left_count,right_count,bilateral_voltage_corr,turn_drive_asym_corr,mean_abs_asym_mv
CL131,central,2,2,0.9640281991328749,-0.24785306347439345,0.5993750095367432
CL128b,central,3,2,0.5212079851648864,-0.24955186037045615,1.5170832872390747
CB1225,central,9,12,0.8375244711714201,-0.24955481003223,2.9197394847869873
SMP398,central,2,2,0.803004136237083,-0.24972394979150947,1.07421875
SMP162b,central,2,2,0.675090142088569,-0.2502350014987158,0.17320312559604645
SLP364,central,2,2,0.8131670848024326,-0.25071472184788945,0.42335936427116394
CB3283,central,2,2,-0.14219170196870531,-0.25094036075445647,1.9372656345367432
AOTU020,central,2,2,0.7685525528641943,-0.25198748001968674,0.3146093785762787
CB3036,central,3,2,0.2088341940447406,-0.252329217687181,2.0476300716400146
SMP055,central,2,2,0.8859975803533688,-0.25260316791914983,4.188984394073486
LAL086,central,4,3,0.7206952756268823,-0.25384669939099574,0.19742193818092346
CB3655,central,2,2,0.5148728714935765,-0.25438063126690175,0.6376562714576721
CB2531,central,3,3,0.6921804908667445,-0.25547373802228024,0.6128125190734863
CB2696,central,2,2,0.10254708546004175,-0.25568299256931293,0.7794530987739563
CB1693,central,2,2,-0.10799353355838329,-0.2556942631738922,3.461250066757202
LHPV4a8,central,2,3,-0.008158856730924445,-0.25575326891457084,2.6865363121032715
CL270b,central,2,2,0.6473748351567663,-0.25615727509686254,1.9418749809265137
AVLP441,central,4,4,0.3916123176824481,-0.25642093416722106,4.666796684265137
CB1065,central,2,2,0.2721401243279659,-0.2570337267471863,1.4911718368530273
CB1068,central,2,3,0.4309157580179141,-0.2576539983688505,0.9891664981842041
M_lvPNm47,central,2,3,0.09647197099438724,-0.2577906135284929,1.3125522136688232
EPGt,central,2,2,0.9483369281523124,-0.25847929787567203,0.06546875089406967
LC34,visual_projection,7,7,0.6883416230867772,-0.2585551070994182,1.1566071510314941
CB3026,central,3,2,0.7289975414163258,-0.2592255259516206,0.8964844346046448
SMP307,central,4,5,0.8955948333843256,-0.25924693689891315,0.19231249392032623
CB2199,central,2,3,0.1502826070148046,-0.2593674259652862,2.951171875
SMP069,central,2,2,0.820270940228233,-0.2597103595667083,2.1621875762939453
CB1861,central,4,4,-0.10068789958633516,-0.2598063620972815,1.384179711341858
AN_multi_18,ascending,2,2,0.9530253057343411,-0.2607939952852432,0.7071874737739563
AVLP490,central,2,2,0.18545492345663772,-0.26094283186311873,3.118828058242798
WED023,central,3,2,0.20170059830618134,-0.2609635578620401,1.22697913646698
AVLP013,central,2,2,0.8771838174032626,-0.26106671385799773,0.3239062428474426
CL004,central,2,2,-0.22627163437010198,-0.2611706855502585,3.943125009536743
"(SMP206,SLP327)a",central,2,2,0.9337872814266899,-0.26209205336122177,1.0081249475479126
CL272_b,central,3,3,0.45238262228617737,-0.2622241322805358,1.4019793272018433
CB1069,central,3,3,0.9386684271525327,-0.26246668774872434,0.4122394621372223
CB3033,central,3,3,-0.0530866465279352,-0.2625682129958377,1.5293231010437012
CB1088,central,4,4,0.6710790418405858,-0.26316049402588,1.1432031393051147
CB3239,central,2,2,0.8275840762121485,-0.26323928864454554,0.7442968487739563
CL013,central,3,2,0.8423487081274574,-0.26344621053751066,2.894166946411133
aSP-f3,central,4,4,0.6527361868238016,-0.2636199311194439,2.3306641578674316
AN_multi_127,ascending,2,2,0.5692896874787257,-0.2638523963282082,2.515859365463257
AVLP436,central,2,2,0.4388066464324467,-0.263912340171737,1.9997656345367432
CB1567,central,2,3,-0.206589579810888,-0.26395439822559263,2.022603988647461
LHPV3a2,central,3,2,0.8670716774430209,-0.26419471502498365,6.4609375
AOTU021,central,2,2,0.8366789093970937,-0.26591235381831363,0.47929686307907104
CB2364,central,4,4,-0.2177694093697786,-0.2663665251844336,0.04746093600988388
CB1786,central,9,11,0.05313325665911392,-0.2665232438925018,0.2592739760875702
CL165,central,2,2,-0.19914057385131917,-0.26663722181660854,2.071093797683716
SMP057,central,2,2,0.833547418179974,-0.26670523562797505,1.3349218368530273
CB1891,central,5,5,0.6121399012530212,-0.2670258262211902,0.1881251484155655
MBON15-like,central,3,2,0.5314505178007317,-0.26733093338364916,2.1951563358306885
CL208,central,2,2,0.9452550967943829,-0.26752369701709827,0.1022656261920929
CB1160,central,3,2,0.06961216892858466,-0.2677978441258169,2.5559897422790527
CB1899,central,3,3,0.034273623640640356,-0.26810411972056397,0.32156240940093994
CB1963,central,2,2,0.5020065871447144,-0.2685402501589989,0.8661718964576721
SAD007,central,5,5,0.574750833110484,-0.268685610904908,0.2235313355922699
"CL259, CL260",central,2,2,0.3068923561246979,-0.2687994809220408,1.1220312118530273
CB1803,central,2,2,0.9191124835436311,-0.26882789623661324,0.9741406440734863
LAL059,central,4,4,0.562375831385885,-0.2688520660274918,0.9942578077316284
CB3105,central,2,2,0.6677222892244323,-0.269069587912348,0.13390624523162842
AN_multi_128,ascending,2,2,0.09700000315167745,-0.26938330256038107,0.373046875
CL255,central,3,3,0.6493124245482109,-0.27000380545006025,0.1433853656053543
CB1029,central,5,6,0.6561040382765113,-0.27105954203179544,4.675609111785889
CB1232,central,3,3,0.10236562920696929,-0.2711687075431665,1.141875147819519
CB1145,central,3,4,-0.011987545941205009,-0.27163793977199885,5.583086013793945
CL014,central,3,5,0.6840528827754557,-0.2716498824203405,1.6175625324249268
CB1741,central,2,2,-0.34864293868368534,-0.27239105245280426,1.088046908378601
CB3073,central,2,2,0.835060231680964,-0.27284883675694477,1.1242187023162842
CB1370,central,2,2,0.35445249767387055,-0.27295737275752857,0.20015625655651093
CB1387,central,4,3,0.9094577572087036,-0.27305947719119633,0.5177863240242004
CB3257,central,2,2,0.9920884670364227,-0.2730643194843148,0.9242968559265137
PFR,central,14,16,0.910880838707285,-0.2732315659920989,0.17821700870990753
"IB033,IB039",central,2,2,0.7533900298446655,-0.27368859887554886,1.033046841621399
CB3293,central,2,4,0.9049313019634418,-0.2739094175130642,0.8453124761581421
M_lvPNm35,central,3,2,0.1329314655465578,-0.27451698253063345,3.3477606773376465
SIP034,central,3,3,0.9209767850047891,-0.2751578386444864,0.38713547587394714
PI,endocrine,20,20,0.5421072966978984,-0.2755532310548978,0.041671790182590485
CB1620,central,2,2,-0.09430000244516899,-0.27635926194893606,5.541250228881836
CB1923,central,5,5,0.8210036204648372,-0.2764647771356105,0.4393123686313629
PLP042c,central,6,7,0.4763882568964026,-0.2769799107098136,0.6888803839683533
CB0717,central,2,2,-0.14382842783999125,-0.2774323180700463,0.08617187291383743
CB1262,central,3,2,0.09776835880844148,-0.27864653338067596,1.1680207252502441
AVLP465b,central,3,3,0.14848205371230355,-0.2789580408868705,5.197812557220459
AN_GNG_200,ascending,3,2,-0.7272461088812499,-0.27953545140039326,0.17372390627861023
CRE103a,central,2,3,0.17841900544149225,-0.2795844253849181,1.7903645038604736
cM04,visual_centrifugal,3,3,0.330240278781484,-0.2801160901647143,0.35187485814094543
LHAV3o1,central,3,3,-0.0839418208059451,-0.2801903272326428,8.96890640258789
LT80,visual_projection,2,2,0.21867207810410158,-0.2811844397303148,4.1484375
LTe02,visual_projection,2,2,0.6901277225033537,-0.28134362458134354,4.740859508514404
CB.FB5D4,central,10,10,0.9265772222396146,-0.2814788116505446,0.5381249189376831
SLP275,central,6,6,0.8388474097158143,-0.2814903593709321,0.38929709792137146
CB.FB5D7,central,2,3,0.8508838410319546,-0.2820806252309874,0.2206769734621048
CB1129,central,3,2,0.0060188462140475275,-0.2822984728323319,0.9404948353767395
AVLP486,central,4,4,0.6929527650161623,-0.28265797620283656,0.5439453125
CB1810,central,3,4,0.9018146308256761,-0.2837094638451914,0.4324478805065155
"PLP026,PLP027",central,4,4,0.6712934191756915,-0.28391934535426633,1.003476619720459
WED014,central,2,2,0.6329164777612868,-0.28401906598596816,0.5412499904632568
CL006,central,2,3,0.8809344285977169,-0.28406128130285196,0.6132553219795227
CB3194,central,2,2,0.8264552649665696,-0.284125671882121,0.5746874809265137
CB1909,central,3,3,0.9496885108945922,-0.28430666953008166,0.15989574790000916
CL113,central,2,2,-0.19137206434293827,-0.28497596098618116,0.8199218511581421
CB3503,central,3,2,0.4324580726011875,-0.28505240427129946,1.450416922569275
CB3300,central,6,2,0.5529037224126151,-0.28514659306711615,0.1536979079246521
SLP345,central,2,3,0.853946227426356,-0.2860750922466971,1.1178386211395264
"CB.FB3,4I0",central,2,2,0.419972190331898,-0.2864672921357556,1.0421874523162842
CB1181,central,5,5,-0.13755590556569747,-0.28670056700497737,0.39815619587898254
CB1881,central,4,4,0.9925901243621823,-0.2871376217721945,0.7976171970367432
CB3043,central,3,3,0.5196598481943053,-0.2872117096528865,0.38546884059906006
CB0999,central,3,2,-0.06677409610436068,-0.2891663631310684,0.6861981153488159
CB1399,central,3,3,0.3091789403210493,-0.28947415332306575,1.6626040935516357
CB2091,central,3,2,0.028626593569480132,-0.28973855423983297,2.817187547683716
PS209,central,5,5,0.6142160398419243,-0.28990299080870174,0.1418125033378601
CB1735,central,3,4,0.3560087959248404,-0.2903200458894429,2.710872173309326
CB1718,central,2,2,0.8262653852033637,-0.2909442528731253,0.04867187514901161
CB2509,central,2,2,0.8116733175791272,-0.2911118853177242,0.6264062523841858
CB2278,central,2,3,0.49505336009823736,-0.2913648489464391,1.0603647232055664
CB1311,central,3,3,-0.5211621935594353,-0.29174663139066087,0.6281770467758179
CB2066,central,3,4,0.8803334561744247,-0.29287763283308144,1.7673959732055664
CB0987,central,3,2,0.32860627133259696,-0.29362264212328315,7.016041278839111
CB3289,central,2,3,0.8414177856113382,-0.29531445537937756,2.412682294845581
CB1150,central,2,4,0.4642128067685045,-0.2960607917047998,1.155429720878601
CB1937,central,7,7,0.1805399538261254,-0.29619300144321603,0.019932860508561134
CL048,central,3,4,0.9238668303571725,-0.296436073848447,0.5364712476730347
CL313,central,6,5,0.47299877751527447,-0.2964613819584948,1.0123122930526733
CB1871,central,3,4,0.41074884906356535,-0.29742630224495736,0.3025260865688324
CB2417,central,2,2,-0.09628193237145974,-0.29755581059602093,2.345390558242798
CB2592,central,3,3,0.8761399851672023,-0.2975813310984873,1.6973958015441895
CB1685,central,5,4,-0.36617240319681804,-0.2978751026512334,0.17340625822544098
CB1412,central,2,2,0.36298320366390757,-0.2982446026253545,0.6944531202316284
PVLP025,central,2,2,0.06202223253642779,-0.29859121474311534,2.7496094703674316
CB2081,central,10,9,-0.16963481658787646,-0.29893177316621794,0.5953681468963623
"SIP014,SIP016",central,5,6,0.04954245505849618,-0.29978632720875514,4.650578498840332
CB3423,central,2,2,0.9909409563177303,-0.30061675781429864,0.4767187535762787
CB1731,central,2,2,0.8663689071597676,-0.30165960811417936,0.3872656226158142
CB1057,central,2,2,0.8791278362465215,-0.30179747845940086,0.8155468702316284
LAL090,central,4,4,0.05064716063298337,-0.3026398093042193,0.4192187488079071
CL091,central,3,4,-0.06167134343890685,-0.30351246219241484,0.38177090883255005
v2LN4,central,3,3,0.752037493807612,-0.3036155745636961,2.3407812118530273
FS2,central,18,20,0.9206252731027905,-0.3038041747682779,0.0934348851442337
CB1578,central,2,3,-0.27144396614844885,-0.30394800426599194,0.3689061999320984
CL172,central,3,3,0.9594700247790369,-0.30459398159405837,1.3331249952316284
"LAL176,LAL177",central,2,2,0.9225242490580078,-0.3046546179043075,18.835546493530273
CB1440,central,3,3,0.8195488281094236,-0.30466448840522214,1.9318230152130127
CB1972,central,2,2,0.695396069923205,-0.3049068448830132,1.3429687023162842
CB3245,central,3,3,0.8604985812053085,-0.3050207417187174,1.4040626287460327
CB1439,central,4,4,0.3576121739680122,-0.30567437192098273,5.069531440734863
LTe38b,visual_projection,3,2,0.830559124580842,-0.30594781993637393,1.1098437309265137
CB1749,central,2,2,0.5370494083136839,-0.3065243600136263,0.2718749940395355
CB3215,central,2,2,0.8007033766930628,-0.3065749498013623,0.20515625178813934
lLN2X12,central,8,5,0.1993218861059517,-0.3066858825176469,0.9550625681877136
CB3103,central,2,3,-0.5083854222892509,-0.30742529539814717,0.07783855497837067
PLP086b,central,2,2,0.8535281309504694,-0.3074388207761749,0.3782031238079071
CB3211,central,2,2,0.40042954775501977,-0.307741209897782,0.9486718773841858
CB.FB7E0,central,2,2,0.6648058049809192,-0.3078419873615944,0.3059374988079071
LC45,visual_projection,12,12,0.8224198552451518,-0.3080808029496958,4.150000095367432
PS054,central,3,3,0.3195873394590876,-0.30831907745364684,1.701041579246521
WED032,central,5,3,-0.41609105140689184,-0.30842576345179956,5.378927230834961
CB2497,central,2,2,-0.0419553965493025,-0.3084609621444362,0.21718749403953552
PS107,central,2,2,0.2978453661639589,-0.3089060532294314,1.8244531154632568
SMP568,central,10,10,-0.09885432019396305,-0.3094185324997194,2.8979220390319824
CB2726,central,2,2,-0.08622518969211215,-0.30987447632580867,0.7617968916893005
AN_AVLP_GNG_23,ascending,7,8,0.10691046441383746,-0.30989079699959377,0.08886715024709702
LC41,visual_projection,6,6,0.49264867162026216,-0.3099131133662276,2.196640729904175
AVLP292,central,3,3,-0.07805532506729125,-0.31028108792559994,1.6155729293823242
CB3696,central,2,2,0.4785161703767082,-0.311076941299689,1.9969531297683716
CB2834,central,3,2,0.7066154822304906,-0.31133336236845555,0.21859368681907654
"LAL163,LAL164",central,2,2,0.8538135930227448,-0.31160648402202257,3.0796875953674316
CL086_e,central,4,4,0.6016333758111471,-0.311756049860575,1.1950781345367432
SLP240_a,central,3,3,-0.14803624287351594,-0.3131500396280077,0.5218228101730347
"PS164,PS165",central,2,2,0.9242681106831349,-0.31317024578276764,0.8232031464576721
"AOTU032,AOTU034",central,7,5,0.20641711258175108,-0.313293314735613,2.6593616008758545
CB3337,central,3,2,0.503064388998589,-0.3135733092832132,1.8798959255218506
CL086_c,central,4,4,0.8324500076183088,-0.31430671903297464,0.9401171803474426
SIP003_b,central,4,4,0.9469419752312638,-0.31457174654063214,0.7702343463897705
CB1698,central,3,4,0.6987780920076411,-0.31580784671032336,2.6623568534851074
CB3001,central,2,2,-0.30865888151822546,-0.3162614477945835,3.189453125
CB2251,central,3,2,-0.01302354546755646,-0.31651224847560294,3.0230987071990967
CB3740,central,4,2,-0.11477821434398608,-0.31709006488953007,1.1981250047683716
LTe33,visual_projection,3,2,0.836237156425049,-0.31715101073542146,1.5384637117385864
"SLP109,SLP143",central,3,2,0.19627553853253904,-0.3174021791055225,0.2571354806423187
"AOTU048,AOTU049",central,3,3,0.08387814781637112,-0.3174892984099844,1.9144269227981567
CB0980,central,5,6,0.7078955861680302,-0.3177299515222355,6.3489789962768555
CB.FB9D0,central,11,10,0.29927111875521917,-0.31828238672494746,0.05747375637292862
CB2171,central,2,4,0.17513863731084547,-0.3188146809987324,4.806210994720459
CRE018,central,3,3,0.8120158782485452,-0.31896178621010307,0.6737499833106995
CB3694,central,2,2,0.0868568386237683,-0.31899965738136005,2.7538280487060547
lLN2X04,central,2,2,0.20346973398632034,-0.3191075085444988,1.5391405820846558
CB1482,central,7,5,0.2857788007641689,-0.3203588679432145,0.07920084148645401
LAL196,central,3,3,0.9671336763675928,-0.3210170970244136,4.491353988647461
SLP396,central,2,2,0.6339712016784761,-0.32117736953789267,1.096250057220459
CB2230,central,2,2,0.9771421549379695,-0.3214332452490995,0.4535156190395355
PS137,central,2,2,0.440254466029243,-0.32180121811823403,3.046562433242798
CB3449,central,3,3,0.8827418228170346,-0.3223069203701838,0.44036445021629333
SAD009,central,2,2,0.6776823189889478,-0.3230478705528074,0.3785156309604645
CB.FB6E4,central,5,5,0.7641862229132074,-0.32376693788587374,1.1898750066757202
CL089_c,central,2,3,0.7603440351855871,-0.32398699807596054,0.7739063501358032
SLP244,central,2,2,0.9788371520890119,-0.32485457736680334,1.818515658378601
LCe03,visual_projection,12,25,0.827543685538363,-0.32537704687961244,2.2734665870666504
SMP019b,central,3,3,0.9486492851057503,-0.32619987494375957,0.6626562476158142
SMP246,central,2,3,0.9219748841093788,-0.32656328747944224,1.5092707872390747
CB0993,central,3,3,0.6133448666918399,-0.32669989700547114,0.29052096605300903
CB1462,central,2,2,-0.3591737395296601,-0.32737378273795065,0.874218761920929
AOTU011,central,2,2,0.9637160200068025,-0.32749937657429207,0.46703124046325684
CB3023,central,2,2,-0.40665208613555637,-0.32874542053356653,5.821249961853027
AVLP523,central,3,2,0.004723369879258486,-0.32899161051643555,1.7742185592651367
SMP065,central,2,2,0.7999469147130727,-0.33045431832159994,2.355156183242798
LAL185,central,2,2,0.3517698288659679,-0.3305288510422383,2.907421827316284
"CL231,CL238",central,2,2,0.007013499080084534,-0.3305547360575279,3.8313281536102295
CB1037,central,4,4,0.7229537644513685,-0.33060978141545644,0.08289062231779099
CB.FB6B1,central,7,7,0.9291504597580125,-0.3307435666409116,0.11290174722671509
AVLP451b,central,2,2,0.5095005382637235,-0.33107406878328927,8.346094131469727
CB0007,central,3,3,0.7660456528123849,-0.3311582534950418,6.655468940734863
LHAD1a2,central,8,8,0.05937586273592576,-0.33150253641736627,1.6607617139816284
"FS1A,FS1B",central,32,32,0.7799299616785496,-0.33351836273562574,0.08036620914936066
CB1298,central,3,4,0.9217645608684017,-0.3341883900522013,1.1834895610809326
CB.FB2E9,central,2,2,0.8368019107189701,-0.33436038274666213,0.3787499964237213
SMP539,central,2,2,0.19289332496413333,-0.33480961621613275,0.7163281440734863
CB1510,central,3,2,-0.2559784027438175,-0.3348807881207318,1.2859114408493042
CB1838,central,4,4,0.697531422933223,-0.33500760486538067,0.2515234351158142
CL239,central,2,2,0.3663277711073305,-0.33518342398128925,0.4946874976158142
CB2204,central,2,3,0.9454874712504994,-0.3359932651748971,1.4822394847869873
CB2079,central,3,2,-0.7084342497282531,-0.33684313605530014,4.614218711853027
CB3276,central,3,3,0.493617515878881,-0.3370583610199957,0.3294791877269745
CL283c,central,2,2,0.8690742667114832,-0.33720312239143485,0.7993749976158142
CB2825,central,2,4,-0.0909037086419268,-0.3379234492628982,2.7603516578674316
ExR5,central,2,2,0.2366468746201812,-0.33920825584715586,0.510937511920929
CB3130,central,3,3,-0.36870456850096894,-0.3392691568659244,0.19114582240581512
SMP039,central,2,2,0.48690672916172373,-0.33957124655207355,0.34765625
CB3024,central,2,4,0.45266455994913846,-0.33990882466436007,0.8092187643051147
PVLP104,central,2,2,-0.05146494674219466,-0.3403255949321352,2.600937604904175
CB1670,central,2,3,-0.3075264175905723,-0.34061241527034375,1.2336719036102295
CB2517,central,12,14,0.5866451709477185,-0.340817975510055,0.03598589077591896
SMP016,central,8,5,0.6607198349623636,-0.3411163061536375,0.21315623819828033
CB1214,central,2,2,0.7830051733784724,-0.3412093735340184,0.24445313215255737
CB0978,central,4,4,0.9295981419034534,-0.34163211776942337,3.556953191757202
AN_GNG_VES_10,ascending,2,2,0.221406740128754,-0.34177300328227117,0.061250001192092896
CB1020,central,2,3,0.9874451510137092,-0.34205678091911,1.044947862625122
LC27,visual_projection,18,19,0.6622542735966287,-0.3421386656503762,1.0796902179718018
CB3256,central,3,3,-0.36228565437165705,-0.3427224479286929,1.1123437881469727
WED038b,central,3,3,0.5974650004384543,-0.34280896671610445,0.7719790935516357
CB3861,central,3,2,0.5103670177628165,-0.3432568906542207,4.401484489440918
PLP099,central,3,2,0.2204748866732561,-0.3435760221855702,1.2193490266799927
CB3015,central,2,2,0.4432749633962217,-0.3439089310862918,1.119687557220459
SLP314,central,4,4,0.7995466328037316,-0.34559264396761036,3.0199999809265137
AOTU062,central,5,5,0.6253621855596218,-0.34572679607646506,0.22565625607967377
CB1759,central,5,7,-0.633305946659409,-0.3474290024710999,1.8875534534454346
