condition,cell_type,side,bin_index,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_signed_delta,teacher_target_value,input_value,student_raw_rate_hz,student_delta_rate_hz
baseline_gray,Mi15,right,2,180,120,0.31984267519373033,0.31984267519373033,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi15,left,3,180,124,0.45175836745442616,0.45175836745442616,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi15,right,3,180,120,0.45175836745442616,0.45175836745442616,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi2,left,0,181,103,1.2628544802412143,1.2628544802412143,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi2,right,0,181,105,1.2628544802412143,1.2628544802412143,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi2,left,1,180,103,1.2509396960751877,1.2509396960751877,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi2,right,1,180,105,1.2509396960751877,1.2509396960751877,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi2,left,2,180,102,1.239360985573795,1.239360985573795,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi2,right,2,180,105,1.239360985573795,1.239360985573795,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi2,left,3,180,102,1.2074919471310244,1.2074919471310244,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi2,right,3,180,104,1.2074919471310244,1.2074919471310244,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi4,left,0,181,191,2.639581972393542,2.639581972393542,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi4,right,0,181,191,2.639581972393542,2.639581972393542,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi4,left,1,180,191,2.5711297013693386,2.5711297013693386,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi4,right,1,180,191,2.5711297013693386,2.5711297013693386,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi4,left,2,180,191,2.5645718904005155,2.5645718904005155,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi4,right,2,180,191,2.5645718904005155,2.5645718904005155,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi4,left,3,180,191,2.6090702023771075,2.6090702023771075,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi4,right,3,180,191,2.6090702023771075,2.6090702023771075,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi9,left,0,181,201,0.1584954691355237,0.1584954691355237,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi9,right,0,181,192,0.1584954691355237,0.1584954691355237,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi9,left,1,180,200,0.13415750244261693,0.13415750244261693,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi9,right,1,180,192,0.13415750244261693,0.13415750244261693,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi9,left,2,180,200,0.1356207767802011,0.1356207767802011,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi9,right,2,180,192,0.1356207767802011,0.1356207767802011,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi9,left,3,180,200,0.11770578901846926,0.11770578901846926,0.0,0.0,0.0,0.0,0.0
baseline_gray,Mi9,right,3,180,191,0.11770578901846926,0.11770578901846926,0.0,0.0,0.0,0.0,0.0
baseline_gray,R7,left,0,181,168,0.4320753999054432,0.4320753999054432,0.0,0.0,0.0,0.0,0.0
baseline_gray,R7,right,0,181,168,0.4320753999054432,0.4320753999054432,0.0,0.0,0.0,0.0,0.0
baseline_gray,R7,left,1,180,168,0.4320753999054432,0.4320753999054432,0.0,0.0,0.0,0.0,0.0
baseline_gray,R7,right,1,180,168,0.4320753999054432,0.4320753999054432,0.0,0.0,0.0,0.0,0.0
baseline_gray,R7,left,2,180,168,0.4320753999054432,0.4320753999054432,0.0,0.0,0.0,0.0,0.0
baseline_gray,R7,right,2,180,168,0.4320753999054432,0.4320753999054432,0.0,0.0,0.0,0.0,0.0
baseline_gray,R7,left,3,180,168,0.4320753999054432,0.4320753999054432,0.0,0.0,0.0,0.0,0.0
baseline_gray,R7,right,3,180,167,0.4320753999054432,0.4320753999054432,0.0,0.0,0.0,0.0,0.0
baseline_gray,R8,left,0,181,168,1.777094915509224,1.777094915509224,0.0,0.0,0.0,0.0,0.0
baseline_gray,R8,right,0,181,164,1.777094915509224,1.777094915509224,0.0,0.0,0.0,0.0,0.0
baseline_gray,R8,left,1,180,168,1.777094915509224,1.777094915509224,0.0,0.0,0.0,0.0,0.0
baseline_gray,R8,right,1,180,164,1.777094915509224,1.777094915509224,0.0,0.0,0.0,0.0,0.0
baseline_gray,R8,left,2,180,167,1.777094915509224,1.777094915509224,0.0,0.0,0.0,0.0,0.0
baseline_gray,R8,right,2,180,163,1.777094915509224,1.777094915509224,0.0,0.0,0.0,0.0,0.0
baseline_gray,R8,left,3,180,167,1.777094915509224,1.777094915509224,0.0,0.0,0.0,0.0,0.0
baseline_gray,R8,right,3,180,163,1.777094915509224,1.777094915509224,0.0,0.0,0.0,0.0,0.0
baseline_gray,T1,left,0,181,162,-0.3286785634841708,-0.3286785634841708,0.0,0.0,0.0,0.0,0.0
baseline_gray,T1,right,0,181,187,-0.3286785634841708,-0.3286785634841708,0.0,0.0,0.0,0.0,0.0
baseline_gray,T1,left,1,180,161,-0.3358265188626117,-0.3358265188626117,0.0,0.0,0.0,0.0,0.0
baseline_gray,T1,right,1,180,186,-0.3358265188626117,-0.3358265188626117,0.0,0.0,0.0,0.0,0.0
baseline_gray,T1,left,2,180,161,-0.3363005723907716,-0.3363005723907716,0.0,0.0,0.0,0.0,0.0
baseline_gray,T1,right,2,180,186,-0.3363005723907716,-0.3363005723907716,0.0,0.0,0.0,0.0,0.0
baseline_gray,T1,left,3,180,161,-0.3372768853687578,-0.3372768853687578,0.0,0.0,0.0,0.0,0.0
baseline_gray,T1,right,3,180,186,-0.3372768853687578,-0.3372768853687578,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2,left,0,181,185,4.8880819525178625,4.8880819525178625,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2,right,0,181,179,4.8880819525178625,4.8880819525178625,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2,left,1,180,185,5.260784925023715,5.260784925023715,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2,right,1,180,179,5.260784925023715,5.260784925023715,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2,left,2,180,184,5.256742591493659,5.256742591493659,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2,right,2,180,179,5.256742591493659,5.256742591493659,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2,left,3,180,184,4.832435068239769,4.832435068239769,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2,right,3,180,179,4.832435068239769,4.832435068239769,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2a,left,0,181,228,0.5265516713879056,0.5265516713879056,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2a,right,0,181,218,0.5265516713879056,0.5265516713879056,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2a,left,1,180,228,0.48243532615403334,0.48243532615403334,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2a,right,1,180,218,0.48243532615403334,0.48243532615403334,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2a,left,2,180,227,0.4707161839430531,0.4707161839430531,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2a,right,2,180,218,0.4707161839430531,0.4707161839430531,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2a,left,3,180,227,0.49271181393414737,0.49271181393414737,0.0,0.0,0.0,0.0,0.0
baseline_gray,T2a,right,3,180,217,0.49271181393414737,0.49271181393414737,0.0,0.0,0.0,0.0,0.0
baseline_gray,T3,left,0,181,207,0.7389101442464149,0.7389101442464149,0.0,0.0,0.0,0.0,0.0
baseline_gray,T3,right,0,181,198,0.7389101442464149,0.7389101442464149,0.0,0.0,0.0,0.0,0.0
baseline_gray,T3,left,1,180,206,0.681567477972971,0.681567477972971,0.0,0.0,0.0,0.0,0.0
baseline_gray,T3,right,1,180,198,0.681567477972971,0.681567477972971,0.0,0.0,0.0,0.0,0.0
baseline_gray,T3,left,2,180,206,0.6613362108253771,0.6613362108253771,0.0,0.0,0.0,0.0,0.0
baseline_gray,T3,right,2,180,197,0.6613362108253771,0.6613362108253771,0.0,0.0,0.0,0.0,0.0
baseline_gray,T3,left,3,180,206,0.6631882666299741,0.6631882666299741,0.0,0.0,0.0,0.0,0.0
baseline_gray,T3,right,3,180,197,0.6631882666299741,0.6631882666299741,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4a,left,0,181,183,0.11081182281856518,0.11081182281856518,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4a,right,0,181,184,0.11081182281856518,0.11081182281856518,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4a,left,1,180,182,0.1319679812127207,0.1319679812127207,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4a,right,1,180,184,0.1319679812127207,0.1319679812127207,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4a,left,2,180,182,0.1446123797504697,0.1446123797504697,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4a,right,2,180,183,0.1446123797504697,0.1446123797504697,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4a,left,3,180,182,0.20623124876947257,0.20623124876947257,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4a,right,3,180,183,0.20623124876947257,0.20623124876947257,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4b,left,0,181,189,0.036158132025469046,0.036158132025469046,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4b,right,0,181,188,0.036158132025469046,0.036158132025469046,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4b,left,1,180,189,0.009221258967550562,0.009221258967550562,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4b,right,1,180,188,0.009221258967550562,0.009221258967550562,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4b,left,2,180,189,0.005798915408457914,0.005798915408457914,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4b,right,2,180,188,0.005798915408457914,0.005798915408457914,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4b,left,3,180,189,-0.015629044629208187,-0.015629044629208187,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4b,right,3,180,187,-0.015629044629208187,-0.015629044629208187,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4c,left,0,181,213,0.12798923399126208,0.12798923399126208,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4c,right,0,181,211,0.12798923399126208,0.12798923399126208,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4c,left,1,180,213,-0.021992748681643408,-0.021992748681643408,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4c,right,1,180,211,-0.021992748681643408,-0.021992748681643408,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4c,left,2,180,212,-0.0672975424415199,-0.0672975424415199,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4c,right,2,180,210,-0.0672975424415199,-0.0672975424415199,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4c,left,3,180,212,-0.10986306136926739,-0.10986306136926739,0.0,0.0,0.0,0.0,0.0
baseline_gray,T4c,right,3,180,210,-0.10986306136926739,-0.10986306136926739,0.0,0.0,0.0,0.0,0.0
