family,super_class,n_roots,mean_selected_frames,total_selected_frames,mean_spike_frames,total_spike_frames,mean_voltage_mv,max_voltage_mv
LTe57,visual_projection,2,1.5,3,1.0,2,-49.431717,-45.0
ORN_DC3,sensory,33,0.09090909090909091,3,0.06060606060606061,2,-50.68731,-45.0
ORN_VA7m,sensory,22,0.13636363636363635,3,0.09090909090909091,2,-48.966854,-45.0
PAM07,central,6,0.5,3,0.3333333333333333,2,-48.44008,-45.0
PLP015,central,2,1.5,3,1.0,2,-50.379375,-45.0
WED125,central,3,1.0,3,0.6666666666666666,2,-50.88031,-45.0
AVLP282,central,2,1.0,2,1.0,2,-78.17984,-49.0
AVLP479,central,1,2.0,2,2.0,2,-51.081093,-45.15625
CB0196,central,2,1.0,2,1.0,2,-50.489532,-45.03125
CB0430,central,1,2.0,2,2.0,2,-48.87953,-45.125
CB0448,central,1,2.0,2,2.0,2,-49.670624,-45.09375
CB0540,central,2,1.0,2,1.0,2,-49.858047,-45.0
CB0556,central,1,2.0,2,2.0,2,-49.078907,-45.0625
CB0584,central,1,2.0,2,2.0,2,-50.232346,-45.0625
CB0650,central,3,0.6666666666666666,2,0.6666666666666666,2,-48.420155,-45.0
CB0854,central,2,1.0,2,1.0,2,-49.48,-45.03125
CB0865,central,2,1.0,2,1.0,2,-49.78836,-45.03125
CB1141,central,4,0.5,2,0.5,2,-49.040897,-45.0
CB1285,central,3,0.6666666666666666,2,0.6666666666666666,2,-49.033176,-45.0
CB1824,central,5,0.4,2,0.4,2,-48.711906,-45.03125
CB2137,central,3,0.6666666666666666,2,0.6666666666666666,2,-48.061047,-45.0
CB2711,central,3,0.6666666666666666,2,0.6666666666666666,2,-49.66396,-45.0
CB2781,central,3,0.6666666666666666,2,0.6666666666666666,2,-49.597607,-45.0
CB2845,central,1,2.0,2,2.0,2,-49.57547,-45.125
CB3077,central,2,1.0,2,1.0,2,-49.62336,-45.0
CB3201,central,2,1.0,2,1.0,2,-50.52633,-45.03125
CB3447,central,3,0.6666666666666666,2,0.6666666666666666,2,-49.662136,-45.0
CB3674,central,1,2.0,2,2.0,2,-50.25828,-45.1875
CL287,central,1,2.0,2,2.0,2,-50.277344,-45.0625
CL339,central,2,1.0,2,1.0,2,-49.08992,-45.0
DA2_lPN,central,5,0.4,2,0.4,2,-49.569782,-45.03125
DL2d_vPN,central,4,0.5,2,0.5,2,-49.61402,-45.0
DM4_vPN,central,2,1.0,2,1.0,2,-50.012814,-45.03125
DM5_lPN,central,3,0.6666666666666666,2,0.6666666666666666,2,-49.709476,-45.03125
DNb04,descending,3,0.6666666666666666,2,0.6666666666666666,2,-49.0713,-45.0
DNge037,descending,1,2.0,2,2.0,2,-51.613594,-45.03125
DNp02,descending,1,2.0,2,2.0,2,-50.28,-45.03125
DNpe005,descending,2,1.0,2,1.0,2,-49.369217,-45.0
DP1l_vPN,central,2,1.0,2,1.0,2,-49.918125,-45.03125
