window_ms,condition,candidate_label,side,mean_rate_hz,mean_voltage_mv,mean_conductance
500.0,body_left_dark,DNp06,right,12.0,-73.36076354980469,-19.799179077148438
500.0,body_left_dark,DNpe031,left,64.0,-49.667572021484375,11.389505863189697
500.0,body_left_dark,DNpe031,right,35.0,-49.68182945251465,7.433964729309082
500.0,body_left_dark,DNb01,left,66.0,-50.771881103515625,10.552528381347656
500.0,body_left_dark,DNb01,right,82.0,-50.8243293762207,12.852652549743652
500.0,body_left_dark,DNp71,left,70.0,-50.718448638916016,11.068151473999023
500.0,body_left_dark,DNp71,right,30.0,-52.2593879699707,3.900604724884033
500.0,body_left_dark,DNb09,left,16.0,-53.432350158691406,0.4338928759098053
500.0,body_left_dark,DNb09,right,4.0,-59.3243293762207,-7.06195068359375
500.0,body_left_dark,DNp103,left,158.0,-50.84310531616211,23.9638614654541
500.0,body_left_dark,DNp103,right,154.0,-50.86529541015625,23.553054809570312
500.0,body_left_dark,DNp43,left,34.0,-52.27830505371094,4.688770294189453
500.0,body_left_dark,DNp43,right,0.0,-85.49268341064453,-35.13064956665039
500.0,body_left_dark,DNg97,left,72.0,-54.103981018066406,8.184205055236816
500.0,body_left_dark,DNg97,right,80.0,-52.00632858276367,11.514333724975586
500.0,body_left_dark,DNp18,left,40.0,-52.0025634765625,5.179289817810059
500.0,body_left_dark,DNp18,right,76.0,-51.321556091308594,11.525699615478516
500.0,body_left_dark,DNpe056,left,80.0,-49.71905517578125,13.673248291015625
500.0,body_left_dark,DNpe056,right,104.0,-50.71195983886719,16.346546173095703
500.0,body_left_dark,DNae002,left,14.0,-62.356929779052734,-9.078041076660156
500.0,body_left_dark,DNae002,right,86.0,-52.44621276855469,11.893064498901367
500.0,body_left_dark,DNpe040,left,76.0,-49.78556823730469,12.93346881866455
500.0,body_left_dark,DNpe040,right,72.0,-49.89057159423828,12.540900230407715
500.0,body_left_dark,DNpe016,left,54.0,-51.6612663269043,7.968960762023926
500.0,body_left_dark,DNpe016,right,94.0,-51.28668975830078,14.246045112609863
500.0,body_left_dark,DNp69,left,0.0,-117.75540924072266,-68.53443145751953
500.0,body_left_dark,DNp69,right,0.0,-148.21194458007812,-100.64168548583984
500.0,body_center_dark,DNp09,left,14.0,-52.863075256347656,1.3338491916656494
500.0,body_center_dark,DNp09,right,0.0,-108.55941009521484,-58.55375671386719
500.0,body_center_dark,DNp35,left,4.0,-87.21691131591797,-35.648475646972656
500.0,body_center_dark,DNp35,right,4.0,-158.45152282714844,-110.62169647216797
500.0,body_center_dark,DNp06,left,36.0,-62.154693603515625,-4.8147196769714355
500.0,body_center_dark,DNp06,right,52.0,-54.44045639038086,5.135965347290039
500.0,body_center_dark,DNpe031,left,69.0,-49.865800857543945,11.883264064788818
500.0,body_center_dark,DNpe031,right,54.0,-49.596853256225586,9.982393264770508
500.0,body_center_dark,DNb01,left,20.0,-53.11711120605469,1.6107884645462036
500.0,body_center_dark,DNb01,right,70.0,-50.66024398803711,11.251224517822266
500.0,body_center_dark,DNp71,left,78.0,-50.39735794067383,12.670599937438965
500.0,body_center_dark,DNp71,right,76.0,-50.7311897277832,12.051223754882812
500.0,body_center_dark,DNb09,left,34.0,-50.46648025512695,6.558197021484375
500.0,body_center_dark,DNb09,right,36.0,-50.02033996582031,7.0748515129089355
500.0,body_center_dark,DNp103,left,162.0,-50.77056884765625,24.655134201049805
500.0,body_center_dark,DNp103,right,162.0,-50.87543869018555,24.576902389526367
500.0,body_center_dark,DNp43,left,32.0,-52.744537353515625,3.780006170272827
500.0,body_center_dark,DNp43,right,0.0,-76.4636001586914,-25.06871795654297
500.0,body_center_dark,DNg97,left,50.0,-55.253562927246094,3.816380023956299
500.0,body_center_dark,DNg97,right,64.0,-54.918575286865234,6.28030252456665
500.0,body_center_dark,DNp18,left,90.0,-50.5649299621582,14.210203170776367
500.0,body_center_dark,DNp18,right,108.0,-50.92048645019531,16.568674087524414
