family,super_class,left_count,right_count,bilateral_voltage_corr,turn_drive_asym_corr,mean_abs_asym_mv
CB3234,central,2,2,0.10982985065350653,0.4293817281265449,0.2640624940395355
CB0126,central,2,2,-0.2657847244119085,0.42899396000519946,0.19734375178813934
CB1227,central,4,4,0.8004228532120318,0.42748006510564374,0.40726563334465027
AVLP218b,central,2,2,0.28197089548253307,0.42694854186205033,1.5309375524520874
AVLP288,central,2,2,0.5007529845413563,0.42588401847628465,3.9635937213897705
LPT23,visual_projection,3,3,-0.02676603522670269,0.42461283881160033,14.413644790649414
CB1322,central,4,4,-0.1027455381330314,0.42265991734088254,0.9108593463897705
PS194,central,3,4,0.14856999625236272,0.42184071653121014,0.45358073711395264
LLPC4,visual_projection,3,3,0.2943949213922354,0.4210169783101345,1.2525521516799927
LAL147b,central,2,2,0.3350076636483398,0.4201774723083421,0.41093748807907104
CB1695,central,2,2,0.45239801655849277,0.4197238963869087,0.4828124940395355
CB3382,central,2,2,-0.25801772477399054,0.4166175392455112,1.0865625143051147
CB0962,central,3,4,-0.2895123612721036,0.4166052131191462,2.509791612625122
CB3742,central,2,2,0.47415440005126713,0.4146331202858315,1.1020312309265137
AOTU008c,central,2,2,0.3135021361478241,0.4140125246513802,0.4046093821525574
LC24,visual_projection,40,35,-0.23425748017915365,0.41268996483100834,0.7460439205169678
CL165,central,2,2,-0.4311187647500786,0.40956638385430894,2.4585156440734863
PVLP082b,central,4,4,-0.19813686881900405,0.4082485765755799,10.683515548706055
MTe09,visual_projection,6,4,-0.07646567134500226,0.40737458854000436,1.730989694595337
SMP320a,central,2,2,0.9535956174709029,0.40422362067919654,0.1686718761920929
PLP038,central,2,2,0.20109999948556395,0.40344542540438955,0.9378125071525574
CB1394,central,9,6,0.07551739153265576,0.40213498001581416,1.946189284324646
SIP020,central,6,6,0.7406337917665511,0.40203884207817486,1.0409114360809326
Lat,visual_centrifugal,3,7,0.49129905612922214,0.40099970644457283,0.2134896218776703
CB2190,central,3,3,0.3034048961147328,0.39712182581021327,0.3316669762134552
LTe63,visual_projection,3,3,0.25153841713110614,0.3931832164936594,1.1147396564483643
CB1256,central,4,6,0.38862819435603524,0.3923786848813653,0.5620701909065247
"PS141,PS147",central,2,2,-0.08372095979166576,0.39148616980994216,1.8875000476837158
AN_IPS_LAL_1,ascending,3,3,-0.10958204909935748,0.391043265384966,0.16697898507118225
WED153,central,3,3,-0.15648246997039347,0.3893304444825143,1.5970311164855957
CB2640,central,2,3,0.7938813679722597,0.3887547017960648,0.46361976861953735
CB3611,central,2,2,-0.03585661749858158,0.3865875174537261,3.241874933242798
CB1760,central,3,2,0.6357641899744545,0.38644297632533425,1.5731251239776611
CB1523,central,3,4,0.9354731379888873,0.3837467649485273,0.18722641468048096
CB3102,central,2,2,0.20836131630510524,0.3833294104554155,1.3035937547683716
PVLP012,central,2,2,-0.10013392276022746,0.38218470525616943,11.222421646118164
cL18,visual_centrifugal,3,3,0.05272345472335438,0.38124682646152963,6.057135105133057
CB1529,central,2,2,0.7944389958616495,0.381066197403877,0.47523438930511475
CB1853,central,2,3,0.09824374851701567,0.3806447979893408,1.9368230104446411
AVLP219b,central,2,2,0.1076429423997331,0.38055304041569826,2.370859384536743
APDN3,central,3,3,-0.170890155973174,0.3792369031690525,3.204843759536743
AN_GNG_AVLP_1,ascending,2,2,-0.24493679599066231,0.37823058285225775,0.04164062440395355
